id,business_name,contractor_license_number,contractor_license_type_code,contractor_license_type_code_desc,address_line_1,address2,city,state,zip,phone_number,license_effective_date,license_expiration_date,business_type_code,business_type_code_desc,specialty_code1,specialty_code1_desc,specialty_code2,specialty_code2_desc,ubi,primary_principal_name,status_code,contractor_license_status,contractor_license_suspend_date,is_home_contractor,mailer_category,priority_category,website_url,website_status,business_description,tagline,established_year,years_in_business,services_offered,service_categories,specializations,website_email,website_phone,physical_address,residential_focus,commercial_focus,emergency_services,free_estimates,warranty_offered,confidence_score,classification_confidence,website_confidence,processing_status,last_processed,manual_review_needed,manual_review_reason,review_status,reviewed_by,reviewed_at,address_line_1,zip_code
218,1ST CHANCE ELECTRIC INC,1STCHCE790ON,EC,ELECTRICAL CONTRACTOR,6218 E 37TH AVE,,SPOKANE,WA,99223,(509) 475-9175,2021-10-11,2025-10-11,C,Corporation,01,GENERAL,,,604778460.0,"Dierks, Sarah K",S,SUSPENDED,2024-01-22,,Electrical,False,https://1st.net,,"1ST CHANCE ELECTRIC INC is an electrical contractor based in Spokane, WA, providing electrical services.",,,,,"Electrical, Electrical Contractor",,,,,,,,,,1.0,,,completed,2025-07-23 05:27:17,False,,approved_download,,,,
345,2 SONS PLUMBING,2SONSSP759TF,PC,PLUMBING CONTRACTOR,106 FRONTAGE RD N,,PACIFIC,WA,98047,(206) 736-6300,2025-03-02,2027-03-02,L,Limited Liability Company,01,JOURNEY LEVEL,,,604877465.0,"BOVAN, ROWDY SCOTT",A,ACTIVE,,True,Plumbing,False,https://www.phccwa.org/find-a-contractor/2-sons-plumbing,,"2 Sons Plumbing is a local plumbing contractor in Pacific, WA, specializing in residential and commercial plumbing services, including sewer, septic, heating, and cooling solutions.",,,,"Plumbing Services, Heating Services, Cooling Services, Drain Cleaning, Sewer Repair, Water Heater Services, Leak Repair Services","Plumbing, Plumbing Services",,,,,,,,,,1.0,,,completed,2025-07-23 18:20:48,False,,approved_download,,,,
200,1LIFE CONSTRUCTION INC,1LIFECI861M5,CC,CONSTRUCTION CONTRACTOR,12345 LAKE CITY WAY #311,,SEATTLE,WA,98125,(206) 676-2192,2014-07-25,2026-08-15,C,Corporation,01,GENERAL,,,603421718.0,"FARIS, TRISHA DAWN",A,ACTIVE,,True,Plumbing,False,https://thepipedr.com/12345-lake-city-way-ne-ste-311-seattle-wa-98125/,,"1LIFE CONSTRUCTION INC specializes in plumbing services, particularly sewer repair and cleaning, serving the Seattle area.",,,,"Sewer Repair, Sewer Cleaning, Drain Cleaning","Plumbing, Sewer Repair and Cleaning",,,,,,,,,,1.0,,,completed,2025-07-23 05:17:43,False,,approved_download,,,,
400,21st Century Electric LLC,21STCCE901QA,EC,ELECTRICAL CONTRACTOR,796 N Grover PL,,EAST WENATCHEE,WA,98802,(509) 670-1724,2010-11-15,2026-12-21,L,Limited Liability Company,01,GENERAL,,,603057815.0,"JONES, MARTIN",A,ACTIVE,,True,Electrical,False,https://www.chelanpud.org/environment/solar-power,,21st Century Electric is an electrical contracting organization that specializes in all aspects of the electrical trade.,,,,,"Electrical, Electrical Contracting",,,,,,,,,,1.0,,,completed,2025-07-23 18:28:17,False,,approved_download,,,,
216,1ST CALL PLUMBING & HTG LLC,1STCACP751LB,PC,PLUMBING CONTRACTOR,6817 27TH ST W,#65761,TACOMA,WA,98466,(253) 244-4325,2025-06-02,2027-06-02,L,Limited Liability Company,01,JOURNEY LEVEL,,,605022550.0,"HARRIS, WAYNE FITZGERALD JR",A,ACTIVE,,,Plumbing,False,https://1st.net,,"1ST CALL PLUMBING & HTG LLC is a plumbing contractor based in Tacoma, WA, specializing in plumbing services.",,,,,"Plumbing, Plumbing Contractor",,,,,,,,,,1.0,,,completed,2025-07-23 05:27:10,False,,approved_download,,,,
259,1ST CLASS PAVING,1STCLCP812LO,CC,CONSTRUCTION CONTRACTOR,16821 SMOKEY POINT BLVD,APT 213,ARLINGTON,WA,98223,(360) 202-5200,2019-06-20,2021-06-20,I,Individual,SS,Paving/ Striping/ Seal Coating,,,603303729.0,"SMITH, JOSHUA W III",E,EXPIRED,2020-07-17,True,Concrete,False,https://www.a1asphaltpc.com/,,"1ST CLASS PAVING provides high-quality asphalt paving services to residents and businesses in Arlington, WA.",,,,"Asphalt paving, Driveway paving, Parking lot maintenance, Excavation services","Concrete, Asphalt Paving",,,,,,,,,,1.0,,,completed,2025-07-23 17:57:30,False,,approved_download,,,,
77,101 ROOF CLEANING,101RORC762CZ,CC,CONSTRUCTION CONTRACTOR,109 SOUTHWESTERN PL,,SEQUIM,WA,98382,(360) 531-3321,2024-02-09,2026-02-09,I,Individual,01,GENERAL,,,605083245.0,"MUZZY, TERESA ARECHAVALETA",A,ACTIVE,,True,Roofing,False,https://nextdoor.com/pages/101-roof-cleaning-port-townsend-wa/,,"101 Roof Cleaning is a family-owned small business providing roof cleaning services, including gutter cleaning, moss treatments, solar panel cleaning, and more.",,,,"Roof cleaning, Gutter cleaning, Moss treatments, Solar panel cleaning, Pressure washing, Gutter guard install and maintenance","Roofing, Roof Cleaning",,,,,,,,,,1.0,,,completed,2025-07-23 03:19:07,False,,approved_download,,,,
47,1-2-3 CONSTRUCTION LLC,123COCL847CZ,CC,CONSTRUCTION CONTRACTOR,2265 Aviator Ln,,OAK HARBOR,WA,98277,(360) 720-1125,2016-02-09,2026-05-23,L,Limited Liability Company,01,GENERAL,,,603581687.0,"THOMPSON, NATHAN ALAN",A,ACTIVE,,True,Kitchen & Bath,False,https://www.1-2-3construction.com/,,"1-2-3 Construction LLC is a general contractor specializing in high-quality construction and remodeling services, dedicated to customer satisfaction.",,,,"Kitchen Remodeling, Bathroom Remodeling, Custom Home Builds","Kitchen & Bath, Remodeling",,,,,,,,,,1.0,,,completed,2025-07-23 03:17:26,False,,approved_download,,,,
375,206 CREW LLC,206CRCL775C4,CC,CONSTRUCTION CONTRACTOR,PO BOX 31039,,SEATTLE,WA,98103,(206) 458-3780,2023-02-24,2027-03-26,L,Limited Liability Company,01,GENERAL,,,605035528.0,"PANDHER, SIMRANJIT SINGH",A,ACTIVE,,True,Demolition,False,https://www.sledgeseattle.com/,,"Sledge Seattle LLC provides safe, eco-friendly demolition services, specializing in deconstruction to salvage materials and minimize waste.",,,,"Deconstruction, Demolition, Board-Up Services, Partial Demolition","Demolition, Deconstruction",,,,,,,,,,1.0,,,completed,2025-07-23 18:23:50,False,,approved_download,,,,
43,1 TOM PLUMBER,1TOMPTP773O8,PC,PLUMBING CONTRACTOR,6250 W CLEARWATER AVE STE 101,,KENNEWICK,WA,99336,(509) 727-3413,2023-10-11,2025-10-11,L,Limited Liability Company,02,RESIDENTIAL,,,605297288.0,"GOIRI, SCOTT A",A,ACTIVE,,True,Plumbing,False,https://www.1tomplumber.com/tri-cities/,,"1-Tom-Plumber offers reliable and fast plumbing services in the Tri-Cities area, specializing in emergency plumbing and water damage restoration.",,,,"Emergency Plumbing, Drain Cleaning, Water Damage Restoration, Excavation","Plumbing, Emergency Plumbing Services",,,,,,,,,,1.0,,,completed,2025-07-23 03:17:15,False,,approved_download,,,,
387,20th Century Contracting,20THCCC860B4,CC,CONSTRUCTION CONTRACTOR,2417 NE 102nd St.,,VANCOUVER,WA,98686,(360) 606-8451,2014-01-24,2026-02-24,P,Partnership,01,GENERAL,,,603493036.0,"Short, Mark Leon",A,ACTIVE,,True,Roofing,False,https://www.20thcenturyroofing.com/,,"20th Century Contracting is a family-owned business specializing in roofing and remodeling services in Vancouver, WA, and surrounding areas.",,,,"New Roofing, Roof Repairs, Roof Inspections, Roof Remodeling, Commercial Roofing, Residential Roofing, Windows Replacement, Doors Installation, Home Remodeling, Decks and Fences Construction","Roofing, Roofing Contractor",,,,,,,,,,1.0,,,completed,2025-07-23 18:25:15,False,,approved_download,,,,
281,1ST RESPONSE PLUMBING,1STRERP781D8,PC,PLUMBING CONTRACTOR,9917 N EDNA ST,,SPOKANE,WA,99208,(509) 847-8372,2022-04-08,2026-04-08,I,Individual,01,JOURNEY LEVEL,,,602976951.0,"LANDIN, JARED",A,ACTIVE,,True,Plumbing,False,https://1stresponseplumbing.com,,Full Service Plumbing - Locally owned and operated.,,,,,"Plumbing, Full Service Plumbing",,,,,,,,,,1.0,,,completed,2025-07-23 18:16:03,False,,approved_download,,,,
271,1ST PLACE STRIPING,1STPLPS948M8,CC,CONSTRUCTION CONTRACTOR,13612 60TH AVE SE,,EVERETT,WA,98208,(425) 357-8249,2006-07-28,2026-07-28,I,Individual,SS,Paving/ Striping/ Seal Coating,,,601354900.0,"CORNELIUS, BRET",A,ACTIVE,,False,Concrete,False,http://www.1stplacestriping.com/services.cfm,,"1st Place Striping is a professional striping company based in Everett, WA, specializing in pavement marking services for various types of properties.",,,,"Striping, Seal Coating, Curbing, Sign Installation, Concrete Repair, Asphalt Resurfacing, Pressure Washing, Speed Bump Installation, Wheel Stop Installation, Patching, ADA Improvements, Consulting","Concrete, Pavement Marking and Maintenance",,,,,,,,,,1.0,,,completed,2025-07-23 18:15:41,False,,approved_download,,,,
81,10733 MERIDIAN AVE NE LLC,10733MA845QS,CC,CONSTRUCTION CONTRACTOR,6501 EAGLE ROCK NE,STE B5,ALBUQUERQUE,NM,87113,(425) 290-2755,2016-11-10,2020-11-10,L,Limited Liability Company,01,GENERAL,,,603360627.0,"KASSAM, FAIZEL",E,EXPIRED,2020-11-01,,Handyman,False,https://www.10733meridianavene.com,found_enhanced,"10733 MERIDIAN AVE NE LLC is a contractor business based in Albuquerque, NM, specializing in general repair services.",,,,"General Repairs, Home Maintenance","Handyman, General Repair Services",,,,,,,,,,1.0,,1.0,completed,2025-07-23 03:19:32,False,,pending_review,,,,
351,2 THE T EXTERIOR LLC,2TEXTTE752JC,CC,CONSTRUCTION CONTRACTOR,27408 129TH PL SE,,KENT,WA,98030,(206) 504-0518,2025-04-03,2027-04-03,L,Limited Liability Company,01,GENERAL,,,605675857.0,"KOZUB, ANATOLIY IVANOVICH",A,ACTIVE,,,Handyman,False,https://www.2thetexterior.com,found_enhanced,"2 THE T EXTERIOR LLC is a contractor business based in Kent, WA, specializing in exterior services.",,,,,"Handyman, General Repair Services",,,,,,,,,,1.0,,1.0,completed,2025-07-23 18:21:37,False,,pending_review,,,,
278,1ST RATE CONST & DRN WZD INC,1STRARC829DL,CC,CONSTRUCTION CONTRACTOR,4227 S MERIDAN STE C#209,,PUYALLUP,WA,98373,(253) 347-7015,2018-03-13,2026-03-13,C,Corporation,01,GENERAL,,,604133328.0,"ARDRY, FREDERICK J",A,ACTIVE,,,Handyman,False,https://www.1strateconstanddrnwzd.com,found_enhanced,"1ST RATE CONST & DRN WZD INC is a contractor business located in Puyallup, WA, specializing in various construction and repair services.",,,,"General repairs, Home improvement, Remodeling","Handyman, General Repair Services",,,,,,,,,,1.0,,1.0,completed,2025-07-23 18:16:56,False,,pending_review,,,,
42,1 STUMP AT A TIME,1STUMS*784B5,CC,CONSTRUCTION CONTRACTOR,14918 39th Ave NW,"Stanwood, Wa.",Stanwood,WA,98292,(206) 354-9491,2022-01-26,2024-01-26,I,Individual,RF,Tree Removal Service,,,602603666.0,"ALLINGTON, BILL",E,EXPIRED,2022-12-30,True,Landscaping,False,https://www.1stumpatatime.net,found_enhanced,"1 STUMP AT A TIME specializes in stump removal services in Stanwood, WA.",,,,"Stump Removal, Tree Services","Landscaping, Stump Removal",,,,,,,,,,1.0,,0.85,completed,2025-07-23 03:17:12,False,,approved_download,,,,
382,206PAINTERS LLC,206PAL*810D2,CC,CONSTRUCTION CONTRACTOR,8828 218th St SW,,Edmonds,WA,98026,(206) 419-0991,2019-03-22,2027-03-28,L,Limited Liability Company,01,GENERAL,,,604418929.0,"PUREVOCHIR, ZOLZAYA",A,ACTIVE,,,Painting,False,https://www.206painters.com,found_enhanced,"206PAINTERS LLC specializes in painting services, providing both interior and exterior painting solutions.",,,,"Interior Painting, Exterior Painting, Wall Covering","Painting, Interior and Exterior Painting",,,,,,,,,,1.0,,1.0,completed,2025-07-23 18:25:08,False,,approved_download,,,,
110,12 MOONS LLC,12MOOML924JS,CC,CONSTRUCTION CONTRACTOR,3900 NE 82ND STREET,,VANCOUVER,WA,98665,(360) 909-6051,2008-04-10,2023-09-02,L,Limited Liability Company,01,GENERAL,,,602817150.0,"ROBISON, DALE",E,EXPIRED,2022-04-06,,General Contracting,False,https://www.12moons.com,found_enhanced,"A construction company based in Vancouver, WA, specializing in residential and commercial building projects with a focus on quality craftsmanship.",,,,"Residential Building, Commercial Building, Quality Craftsmanship","General Contracting, Residential and Commercial Building Projects",,,,,,,,,,1.0,,1.0,completed,2025-07-23 03:20:48,False,,approved_download,,,,
36,1 RV PAINTING & RMDLNG LLC,1RVPARP772OE,CC,CONSTRUCTION CONTRACTOR,660 SW 132ND ST,,BURIEN,WA,98146,(206) 602-0148,2023-09-05,2025-09-05,L,Limited Liability Company,01,GENERAL,,,605240274.0,"PABLO SARMIENTO, ALEJANDRO",A,ACTIVE,,True,Painting,False,https://www.1rvpaintingandrmdlng.com,found_enhanced,"R V Painting & Remodeling, LLC is a contractor based in Burien, WA, specializing in expert painting services.",,,,"Interior Painting, Exterior Painting, Remodeling","Painting, Interior and Exterior Painting",,,,,,,,,,1.0,,0.95,completed,2025-07-23 03:16:48,False,,approved_download,,,,
76,101 Pest Control LLC,101PEPC881MZ,CC,CONSTRUCTION CONTRACTOR,P O BOX 548,,CARLSBORG,WA,98324,(360) 670-3085,2012-07-09,2026-07-09,L,Limited Liability Company,SZ,Structural Pest Control,,,603217463.0,"Mason, John R",A,ACTIVE,,True,Pest Control,False,https://www.101pestcontrol.com,found_enhanced,"101 Pest Control LLC provides pest control services in Carlsborg, WA.",,,,"Pest Control, Termite Control, Rodent Control","Pest Control, Pest Control Services",,,,,,,,,,1.0,,1.0,completed,2025-07-23 03:19:25,False,,approved_download,,,,
280,1ST RESPONSE HTG/AIR SLTNS LLC,1STRERH850P3,CC,CONSTRUCTION CONTRACTOR,1731 113th Drive Southeast,,LAKE STEVENS,WA,98258,(206) 643-1525,2015-10-23,2025-10-24,L,Limited Liability Company,01,GENERAL,,,603552772.0,"TACBIAN, BRAXTEN TEOFILO",S,SUSPENDED,2025-03-27,True,HVAC,False,https://www.1stresponsehtgairsltns.com,found_enhanced,"1ST RESPONSE HTG/AIR SLTNS LLC is an HVAC contractor based in Lake Stevens, WA, specializing in heating and air conditioning services.",,,,"Heating installation, Air conditioning installation, Furnace repair, AC service","HVAC, Heating and Air Conditioning Services",,,,,,,,,,1.0,,1.0,completed,2025-07-23 18:16:09,False,,approved_download,,,,
270,1ST PLACE CONCRETE LLC,1STPLPC856DP,CC,CONSTRUCTION CONTRACTOR,209903 E 315 PRSE,,KENNEWICK,WA,99336,(509) 302-5679,2015-03-17,2025-12-13,L,Limited Liability Company,01,GENERAL,,,603487327.0,"JOHNSON, NICKOLAS MAX",A,ACTIVE,,,Concrete,False,https://www.1stplaceconcrete.com,found_enhanced,"1st Place Concrete LLC is a construction contractor specializing in concrete services in Kennewick, WA.",,,,"Concrete pouring, Concrete finishing, Concrete repair, Concrete installation","Concrete, Concrete Services",,,,,,,,,,1.0,,1.0,completed,2025-07-23 18:15:53,False,,approved_download,,,,
292,2 AMIGOS ROOFING LLC,2AMIGAR770ND,CC,CONSTRUCTION CONTRACTOR,402 S. 9TH AVE,,YAKIMA,WA,98902,(509) 834-9739,2023-08-04,2025-08-04,L,Limited Liability Company,CD,ROOFING,,,605280171.0,"PANIAGUA ALCUATE, NICANDO",S,SUSPENDED,2024-07-26,,Roofing,False,https://www.2amigosroofing.com,found_enhanced,"2 AMIGOS ROOFING LLC specializes in roofing services in Yakima, WA.",,,,"Roof installation, Roof repair, Roof maintenance","Roofing, Roof Installation and Repair",,,,,,,,,,1.0,,0.95,completed,2025-07-23 18:17:25,False,,approved_download,,,,
310,2 COATS PAINTING LLC,2COATCP857LS,CC,CONSTRUCTION CONTRACTOR,12612 NE 26TH ST,,VANCOUVER,WA,98684,(360) 601-2730,2015-06-10,2022-10-20,L,Limited Liability Company,CB,PAINTING/WALLCOVERING,,,603512396.0,"NIDICK, KENNETH B",R,RE-LICENSED,,True,Painting,False,https://www.2coatspainting.com,found_enhanced,"2 COATS PAINTING LLC is a painting contractor based in Vancouver, WA, specializing in residential painting services.",,,,"Interior Painting, Exterior Painting, Surface Preparation, Color Consultation","Painting, Residential Painting",,,,,,,,,,1.0,,0.95,completed,2025-07-23 18:18:25,False,,approved_download,,,,
31,1 HANDY MAN SRVC/DSGN LLC,1HANDHM807DF,CC,CONSTRUCTION CONTRACTOR,3009 184TH PL NE,,ARLINGTON,WA,98223,(425) 314-4393,2020-03-06,2026-03-06,L,Limited Liability Company,01,GENERAL,,,604468253.0,"HERNANDEZ, ANGELA MARIE",A,ACTIVE,,True,Handyman,False,https://www.1handymansrvcdsgn.com,found_enhanced,"1 Handy Man Services And Designs is a local business in Arlington, WA that offers a range of handyman services and design solutions for residential customers.",,,,"General Repairs, Home Maintenance, Design Solutions","Handyman, General Repair Services",,,,,,,,,,1.0,,1.0,completed,2025-07-23 03:16:44,False,,approved_download,,,,
3,#1 AQUA MATTERS,1AQUAAM831PC,CC,CONSTRUCTION CONTRACTOR,8825 34TH AVE NE #L413,,MARYSVILLE,WA,98271,(206) 931-2595,2017-10-03,2025-10-03,I,Individual,01,GENERAL,,,600471418.0,"DOHERTY, JOHN BRIEN III",A,ACTIVE,,,Plumbing,False,https://www.1aquamatters.net,found_enhanced,"#1 Aqua Matters specializes in backflow testing and irrigation services in Marysville, WA.",,,,"Backflow testing, Irrigation services","Plumbing, Backflow Testing & Irrigation",,,,,,,,,,1.0,,0.85,completed,2025-07-23 03:10:55,False,,approved_download,,,,
359,20/20 EXTERIORS,2020EE*841DT,CC,CONSTRUCTION CONTRACTOR,914 N COUNTRY CLUB DRIVE,,DEER PARK,WA,99006,(509) 688-4480,2016-03-30,2026-04-05,L,Limited Liability Company,01,GENERAL,,,603591996.0,"NICHOLAS, TIMOTHY MATTHEW",A,ACTIVE,,True,Roofing,False,https://www.2020exteriors.net,found_enhanced,"20/20 Exteriors is a roofing company based in Deer Park, WA, specializing in roofing and siding solutions with over 60 years of combined experience.",,,,"Roof Installation, Siding Installation","Roofing, Roof Installation and Siding Services",,,,,,,,,,1.0,,0.85,completed,2025-07-23 18:21:51,False,,approved_download,,,,
86,10X20 PERFORMANCE FBRCTN LLC,10X20PF785PO,CC,CONSTRUCTION CONTRACTOR,502 E VINEYARD DR,Suite A,PASCO,WA,99301,(509) 619-2024,2022-10-20,2027-03-03,L,Limited Liability Company,CG,METAL FABRICATION,,,604699221.0,"BREIER, JORDAN MICHAEL",A,ACTIVE,,,Metal Fabrication,False,https://www.10x20performancefbrctn.com,found_enhanced,"10X20 Performance Fabrication, LLC specializes in metal fabrication services, particularly in the motorsport sector.",,,,"Metal Fabrication, Motorsport Fabrication","Metal Fabrication, Motorsport Fabrication",,,,,,,,,,1.0,,1.0,completed,2025-07-23 03:19:47,False,,approved_download,,,,
21,@HOME ESSENTIAL SERVICES LLC,HOMEEES784LC,CC,CONSTRUCTION CONTRACTOR,2950 NEWMARKET ST  STE 101-285,,BELLINGHAM,WA,98226,(360) 919-6806,2022-05-12,2024-05-12,L,Limited Liability Company,01,GENERAL,,,604878380.0,"KING, JENNIFER MARIE",O,OUT OF BUSINESS,,True,Handyman,False,https://www.homeessentialservices.com,found_enhanced,"A contractor business providing essential home services in Bellingham, WA.",,,,"General home repairs, Maintenance services, Home improvement","Handyman, General Home Repair",,,,,,,,,,1.0,,1.0,completed,2025-07-23 03:16:01,False,,approved_download,,,,
25,1 CHANCE CONCRETE & LNDSNG LLC,1CHANCC838M7,CC,CONSTRUCTION CONTRACTOR,1504 Judd St,,OLYMPIA,WA,98506,(360) 451-7021,2017-07-27,2019-07-27,L,Limited Liability Company,01,GENERAL,,,604135607.0,"Pruitt, Thomas Gene Jr",O,OUT OF BUSINESS,2018-07-31,,Concrete,False,https://www.1chanceconcreteandlndsng.com,found_enhanced,"1 Chance Concrete & Landscaping LLC specializes in concrete services and landscaping solutions in Olympia, WA.",,,,"Concrete pouring, Concrete finishing, Landscaping design, Hardscaping","Concrete, Concrete Services",,,,,,,,,,1.0,,1.0,completed,2025-07-23 03:16:35,False,,approved_download,,,,
