business_name,phone_number,address1,address2,city,state,website_url,confidence_score,is_home_contractor,mailer_category
1 WAY ELECTRICAL SERVS LLC,(206) 694-9024,1107 NW 61ST ST,,SEATTLE,WA,https://www.1wayelectricalservs.com,1.0,,Electrical
2 SONS PLUMBING LLC,(206) 736-6300,PO Box 371,,HOBART,WA,https://www.2sonsplumbing.com,1.0,True,Plumbing
1040WINDOWREMODELING L L C,(971) 777-5107,9906 NE 39TH ST,,VANCOUVER,WA,https://www.1040windowremodelingllc.net,1.0,True,Windows & Doors
12 TILE,(206) 422-1359,12907 E gibson rd,F101,Everett,WA,https://www.12tile.net,1.0,True,Flooring
1ST PRECISION PAINTING,(208) 757-0710,13308 E 12TH AVE,,SPOKANE VALLEY,WA,https://www.1stprecisionpainting.com,1.0,,Painting
123 Electric Service Inc,(425) 455-2027,14725 NE 20TH STREET D-12,,Bellevue,WA,https://123electricservice.com/,1.0,True,Electrical
1ST CHOICE ROOFING & SDNG LLC,(509) 845-6908,2111 N 19TH DR,,PASCO,WA,https://1st.net,1.0,,Roofing
2 A T PAINTING LLC,(360) 840-5052,1239 Feather Ln,,OAK HARBOR,WA,https://www.2atpainting.com,1.0,True,Painting
2 BROTHERS CONCRETE LLC,(206) 941-8858,4040 AUBURN WAY S TRLR 59,,AUBURN,WA,https://www.2brothersconcrete.org/,1.0,True,Concrete
12 CUSTOM HOMES LLC,(509) 423-4969,208 COTTAGE AVE #1,,CASHMERE,WA,https://www.12customhomes.com,1.0,True,Custom Homes
11TH HR WELDING  FAB & RPR LLC,(702) 232-6433,300 SE 6TH CIRCLE,,BATTLE GROUND,WA,https://www.11thhrweldingfabandrpr.com,1.0,,Handyman
10/Zero5 General Contr LLC,(509) 539-2907,5609 W. Richardson Rd.,,PASCO,WA,https://www.10zero5generalcontr.com,1.0,,Handyman
@ YOUR SERVICE HOME APPL RPR,(425) 814-9462,13106 133RD PL NE,,KIRKLAND,WA,https://www.yourservicehomeapplrpr.net,1.0,True,Handyman
(TCHS) TRI-CITIES HOMES SERV,(509) 907-2154,241 JAMES ST,,WEST RICHLAND,WA,https://www.tchstricitieshomesserv.net,1.0,True,Handyman
& BUILD,(206) 271-1267,1622 Queen Anne Ave N,,SEATTLE,WA,https://www.andbuild.net,1.0,,Handyman
+1 HAMMER LLC,(509) 679-2915,925 MALAGA AVE,,WENATCHEE,WA,https://www.1hammer.com,1.0,,Painting
12 BROTHERS CONSTRUCTION LLC,(206) 922-9441,15102 SE 184TH ST,,Renton,WA,https://www.12brothersconstruction.com,1.0,,Handyman
1 NEW MECHANICAL LLC,(425) 326-7551,11906 206TH AVE SE,,SNOHOMISH,WA,https://www.1newmechanical.com,1.0,,HVAC
1st Choice Plumbing & Rep. LLC,(509) 895-4035,40 Stohler Rd,,SELAH,WA,https://1st.net,1.0,,Plumbing
2 BROS FLOORING LLC,(971) 344-7396,111 NW 148th St,,Vancouver,WA,https://www.2brosflooring.com,1.0,,Flooring
12 DECKS & FENCES LLC,(206) 487-6747,13915 99TH AVE SE,,Snohomish,WA,https://12decks.vercel.app/,1.0,True,Fencing
1ST CHOICE PLUMBING INC,(425) 876-8015,PO BOX 3875,,EVERETT,WA,https://1st-choice-plumbing.com,1.0,True,Plumbing
1-800-STRIPER OF BELLEVUE,(425) 532-5401,11112 NE 124TH LN APT D213,,KIRKLAND,WA,https://1800striper.com/striper-of-bellevue/,1.0,False,Painting
2 BROTHERS STONE MASONRY LLC,(509) 528-1032,1007 S 5TH AVE,,PASCO,WA,https://www.2brothersstonemasonry.com,1.0,,Concrete
#1 SIDING LLC,(360) 721-4342,5600 MT SOLO RD,UNIT 144,LONGVIEW,WA,https://www.1siding.com,1.0,,Siding
23RD ST GARDENING & DESIGN,(425) 335-5287,1911 23RD ST,,ANACORTES,WA,https://www.23rdstgardeninganddesign.net,1.0,True,Landscaping
10 STAR PAINTING LLC,(206) 914-6434,30132 36TH PL S,,AUBURN,WA,https://www.10starpainting.com,1.0,,Painting
100 Oaks Nrsy Lndscp/Grdn Srvs,(360) 789-0873,5411 Camelot Dr. SW,,OLYMPIA,WA,https://www.100oaksnrsylndscpgrdnsrvs.net,1.0,True,Landscaping
100% PAINTING LLC,(360) 878-4206,PO BOX 356,,TENINO,WA,https://www.100painting.com,1.0,True,Painting
23 CONCRETE LLC,(206) 640-4723,4970 NE 193RD ST,,LAKE FOREST PARK,WA,https://www.23concrete.com,1.0,,Concrete
$AVER HARDWOOD FLOORS LLC,(206) 372-5166,17442 116th Ave SE,,RENTON,WA,https://www.averhardwoodfloors.com,1.0,True,Flooring
12 GENERAL HANDYMAN,(253) 391-9545,7816 OAKRIDGE DR SW,,LAKEWOOD,WA,https://www.12generalhandyman.com,1.0,,Handyman
2020 Electric Company LLC,(360) 661-1781,PO BOX 150,,GREENBANK,WA,https://www.2020electriccompany.com,1.0,,Electrical
24 HOUR LOCK AND KEY LLC,(971) 720-9939,2512 E EVERGREEN BLVD #31,,Vancouver,WA,https://www.24hourlockandkey.com,1.0,True,Handyman
206 FLOORING LLC,(425) 802-1752,4227 W LK SAMMAMISH PKWY NE,,REDMOND,WA,https://www.206flooring.com,1.0,,Flooring
# JUAN HANDYMAN LLC,(509) 847-9082,21313 W. Sunwest Ave.,,Medical Lake,WA,https://www.juanhandyman.com,1.0,True,Handyman
$100 OVER COST PAINTING CO LLC,(509) 598-9842,1604 E Rich Ave,,SPOKANE,WA,https://www.100overcostpaintingco.com,1.0,,Painting
101 ROOFING LANDSCAPING,(360) 204-3502,15800 SCANDIA RD NW,TRLR #25,POULSBO,WA,https://www.101roofinglandscaping.com,1.0,True,Roofing
+SUN TREE SERVICE LLC,(253) 468-0554,11011 Park Ave S,Apt C110,Parkland,WA,https://www.suntreeservice.com,1.0,True,Landscaping
1-UP CONTRACTING,(360) 349-6099,214 MCKENA LN SW,,TUMWATER,WA,https://www.1upcontracting.net,1.0,True,Insulation
1 CROWN FLOORING LLC,(253) 301-7276,5017 Mariner St.,,Gig Harbor,WA,https://www.1crownflooring.com,1.0,True,Flooring
21ST CENTURY ELECTRIC,(360) 990-5012,9187 W BELFAIR VALLEY RD,,BREMERTON,WA,https://www.21stcenturyelectric.net,1.0,,Electrical
10 PENNY HOMES LLC,(425) 218-5276,8510 10TH AVE W B305,,EVERETT,WA,https://www.10pennyhomes.com,1.0,True,Handyman
11043 PALATINE AVE N LLC,(425) 212-2210,3726 BROADWAY  STE 301,,EVERETT,WA,https://www.11043palatineaven.com,1.0,True,Handyman
1 BLOCK BROS LLC,(425) 367-7706,14220 57TH DR SE,,EVERETT,WA,https://www.1blockbros.com,1.0,,Handyman
1 STOP REAL ESTATE REHAB LLC,(360) 239-0222,11625 NISQUALLY PARK LOOP SE,,OLYMPIA,WA,https://www.1stoprealestaterehab.com,1.0,,Handyman
101 WEST LLC,(425) 329-8202,PO BOX 2289,,SNOHOMISH,WA,https://www.101west.com,1.0,,Handyman
2001-WLD BRAES PARK LLC,(425) 576-9390,1010 MARKET ST,,KIRKLAND,WA,https://www.2001wldbraespark.com,1.0,,Handyman
2003-WLD BRUNTSFIELD LLC,(425) 576-9390,1010 MARKET STREET,,KIRKLAND,WA,https://www.2003wldbruntsfield.com,1.0,,Handyman
12 HAWK CONTRACTING LLC,(425) 750-7444,10529 25TH DR SE,,EVERETT,WA,https://www.12hawkcontracting.com,1.0,,Handyman
13THIRTYSEVEN ELECTRIC LLC,(425) 830-7342,7711 EASY ST,,EVERETT,WA,https://archive.org/stream/NewsUK1977UKEnglish/Jan%2014%201977%2C%20The%20Times%2C%20%2359907%2C%20UK%20%28en%29_djvu.txt,1.0,,Electrical
12TH HANDYMAN,(707) 364-3996,5706 17TH AVE NW,UNIT 17346,SEATTLE,WA,https://www.12thhandyman.com/,1.0,True,Handyman
1ST PROPANE OF WHATCOM CTY INC,(360) 332-3121,2163 NATURES PATH WAY,,BLAINE,WA,https://www.1stpropaneofwhatcomcty.com,1.0,,HVAC
1 TOM PLUMBER STTL & GRTR ES,(425) 256-3408,20109 144TH AVENUE NE,,WOODINVILLE,WA,https://us.nextdoor.com/pages/1-tom-plumber-woodinville-wa/,1.0,True,Plumbing
1 MAN & A TRACTOR,(253) 258-4703,769 NE WOODS PLACE,,BREMERTON,WA,https://www.1manandatractor.net,1.0,,Handyman
1-800 WATER DAMAGE/S PGT SD,(253) 927-4165,PO BOX 1327,,MILTON,WA,https://www.1800waterdamagespgtsd.net,1.0,True,Water Damage Restoration
1-A CONSTRUCTION & FIRE LLP,(541) 567-5730,31156 FOLLETT LANE,,HERMISTON,OR,https://www.1aconstructionandfirellp.com,1.0,,Excavation
10 POINT CONSTRUCTION SRVS LLC,(253) 861-4544,5631 29TH ST NE,,TACOMA,WA,https://www.10pointconstructionsrvs.com,1.0,,Handyman
1 LEG ENTERPRISES LLC,(509) 378-6926,211 N LINCOLN ST,,KENNEWICK,WA,https://www.1legenterprises.com,1.0,,Handyman
1ST CHOICE LANDSCAPING INC,(360) 926-3004,17902 29TH AVE NE,,Marysville,WA,https://1stchoicelandscapinginc.com/,1.0,True,Landscaping
1 SON MASONRY LLC,(360) 880-4370,122 Debra LN,,ONALASKA,WA,https://www.1sonmasonry.com,1.0,,Concrete
&RU ENTERPRISES LLC,(509) 475-2600,3710 E CONGRESS AVE,,SPOKANE,WA,https://www.andruenterprises.com,1.0,,Handyman
1812 EXTERIOR SOLUTIONS LLC,(253) 797-7172,2602 Westridge Ave W,Apt m303,Tacoma,WA,https://www.1812exteriorsolutions.com,1.0,,Roofing
1ST CHOICE CONSTRUCTION INC,(253) 569-4588,410 Main St,,Algona,WA,https://1stchoicehomeconstruction.com/,1.0,True,Roofing
108 Contractors,(253) 347-7547,34407 8th CT SW,,FEDERAL WAY,WA,https://www.108contractors.com,1.0,,Handyman
110% LLC,(360) 259-7189,206 W YELM AVE,,YELM,WA,https://www.110.com,1.0,,Handyman
11202 LLC,(206) 797-9700,7900 SE 28TH ST STE 412,,MERCER ISLAND,WA,https://www.11202.com,1.0,,Handyman
11336 20TH AVE NE LLC,(425) 212-2210,"3726 BROADWAY, SUITE 301",,EVERETT,WA,https://www.1133620thavene.com,1.0,,Handyman
1134 LAKESIDE SOUTH LLC,(206) 254-5606,1111 3RD AVE STE 3000,,SEATTLE,WA,https://www.1134lakesidesouth.com,1.0,,Handyman
2 GRADE LLC,(360) 461-3992,PO BOX 1570,,PORT ANGELES,WA,https://www.2grade.com,1.0,,Handyman
12921 DEVELOPMENT LLC,(425) 443-2152,18978 ANGELINE AVE NE,,SUQUAMISH,WA,https://www.12921development.com,1.0,,Handyman
1528 NE 89TH STREET LLC,(425) 212-2210,3726 BROADWAY  STE 301,,EVERETT,WA,https://www.1528ne89thstreet.com,1.0,,Handyman
11210 LLC,(425) 453-8886,10608 NE 2nd St Suite 202,,BELLEVUE,WA,https://www.11210.com,1.0,,Handyman
222 ELECTRIC CO,(253) 222-4605,11806 221ST AVE E,,BONNEY LAKE,WA,https://www.seattlelighting.com/,1.0,True,Electrical
1 FOUNDATION,(253) 335-8991,1403 23RD AVE,,MILTON,WA,https://www.1foundation.net,1.0,,Concrete
180 ELECTRIC LLC,(509) 475-1350,12123 E. Grace Ave.,,SPOKANE VALLEY,WA,https://www.spokanevalleyed.org/DocumentCenter/View/2374,1.0,,Electrical
(H)ANDYMAN LLC,(206) 963-7622,10248 1ST AVENUE SOUTHWEST,,SEATTLE,WA,https://www.handyman.com,1.0,True,Handyman
# JUAN HANDYMAN,(509) 847-9082,2324 E BOONE AVE,,SPOKANE,WA,https://www.juanhandyman.com,1.0,,Handyman
#1 PRO POWER WASHING SERVICES,(435) 260-9855,75 VINE ST,APT 506,SEATTLE,WA,https://www.1propowerwashingservices.net,1.0,True,Handyman
1901-WLD KENMORE 68TH LLC,(425) 576-9390,1010 MARKET ST,,KIRKLAND,WA,https://www.1901wldkenmore68th.com,1.0,,Handyman
+1 Construction LLC,(509) 679-2915,925 Malaga Ave.,,WENATCHEE,WA,https://www.1construction.com,1.0,,Handyman
2 BEARS DEVELOPME & CONST LLC,(360) 787-3465,2610 NE 51ST ST,,VANCOUVER,WA,https://www.2bearsdevelopmeandconst.com,1.0,,Handyman
1958 TUDOR LLC,(425) 628-8211,9714 Chapman Dr NW,,GIG HARBOR,WA,https://www.1958tudor.com,1.0,,Handyman
#6 Productions LLC,(509) 859-3466,3430 Number 6 Rd,,ELLENSBURG,WA,https://www.6productions.com,1.0,,
2 G CONSTRUCTION,(509) 524-3404,611 E ROSE ST,,WALLA WALLA,WA,https://www.2gconstruction.com,1.0,,Handyman
2 GENERATIONS CONSTRUCTION LLC,(509) 302-0274,6816 W YELLOWSTONE AVE,,Kennewick,WA,https://www.2generationsconstruction.com,1.0,,Handyman
1ST CHOICE PLUMBING INC,(425) 750-7013,PO BOX 3875,,EVERETT,WA,https://1st-choice-plumbing.com,1.0,True,Plumbing
2 GUYS PLUMBING LLC,(360) 274-3453,PO BOX 1386,,CASTLE ROCK,WA,https://www.2guysplumbing.com/drain-cleaning,1.0,True,Plumbing
1 Savanni LLC,(425) 220-1777,5323 150TH PL SW,,EDMONDS,WA,https://www.1savanni.com,1.0,,Handyman
21ST CENTURY CONSTRUCTION LLC,(509) 934-8404,207 Maven Way,,CHEWELAH,WA,https://www.21stcenturyconstruction.com,1.0,,Handyman
212-WLD ABERDOUR LLC,(425) 576-9390,1010 MARKET ST,,KIRKLAND,WA,https://www.212wldaberdour.com,1.0,,Handyman
1 CALL CONSTRUCTION LLC,(360) 957-3383,315 McGeary Rd,,KELSO,WA,https://www.1callconstruction.com,1.0,,Handyman
#1EAGLEREMODELING LLC,(206) 372-8756,16821 3RD AVE CT E,,SPANAWAY,WA,https://www.1eagleremodeling.com,1.0,,
12051 20TH AVE NE LLC,(425) 212-2210,3726 BROADWAY  STE 301,,EVERETT,WA,https://www.1205120thavene.com,1.0,,Handyman
1-16 INSTALLATION LLC,(253) 886-3937,1137 123RD AVE CT E,,EDGEWOOD,WA,https://www.116installation.com,1.0,,Handyman
11737 40TH AVE NE LLC,(425) 344-3048,210 E BOSTON ST,,SEATTLE,WA,https://www.1173740thavene.com,1.0,,Handyman
#1 CONSTRUCTION,(206) 383-3737,918 S 301ST ST,,FEDERAL WAY,WA,https://www.1construction.com,1.0,,General Contractor
2 RIVERS ABATEMENT LLC,(509) 221-8207,31505 S 2200 PR SE,,KENNEWICK,WA,https://www.2riversabatement.com,1.0,,Asbestos Abatement
2 CANNON RIVER CONST LLC,(509) 520-3138,106 W BAILEYSBURG LN,,DAYTON,WA,https://www.2cannonriverconst.com,1.0,,Handyman
10 PENNY CONSTRUCTION,(509) 699-6534,3618 BURCHVALE RD,,WENATCHEE,WA,https://www.10pennyconstruction.com,1.0,,Handyman
1121 - 34TH AVE TOWNHOMES GC,(206) 347-3472,1115A 34TH AVE,,SEATTLE,WA,https://www.112134thavetownhomesgc.net,0.95,,Handyman
11211 STERLING GC,(509) 943-1588,890 GEORGE WASHINGTON WAY,,RICHLAND,WA,https://www.11211sterlinggc.net,0.95,,General Contractor
11 DEGREES RESIN,(425) 585-8293,826 RHODORA HEIGHTS RD,,LAKE STEVENS,WA,https://www.11degreesresin.net,0.95,,Handyman
1 EZ SEPTIC SYSTEM INSTLR LLC,(509) 520-1586,906 PARALLEL ST,,MILTON FREEWATER,OR,https://www.1ezseptic.com/,0.95,True,Septic Services
237 SPLICING,(253) 278-0139,11322 89TH AVE CT E,,PUYALLUP,WA,https://www.237splicing.net,0.95,,Handyman
2 Monkeys Enterprises,(360) 277-7758,8749 Jace Ln Nw,,SILVERDALE,WA,https://www.2monkeysenterprises.net,0.95,,Handyman
2 OLD DOGS MILLWRK & CBNT INST,(425) 362-8594,1409 Lake Youngs Way SE,,RENTON,WA,https://www.2olddogsmillwrkandcbntins.net,0.95,,Handyman
12 STONE CONTRACTING GROUP,(435) 703-8653,2394 E MOUNTAIN LEDGE DR,,SAINT GEORGE,UT,https://www.12stonecontractinggroup.net,0.95,,General Contracting
2 THE POINT,(206) 861-4380,13215 2ND AVE SOUTH,,BURIEN,WA,https://www.2thepoint.net,0.95,,Handyman
1LOVE PAINTING LLC,(360) 787-3725,5105 NE 57TH AVE,,VANCOUVER,WA,https://nextdoor.com/pages/columbia-home-repair-vancouver-wa/,0.9,True,Painting
16D LLC,(206) 354-0876,PO BOX 804,,VASHON,WA,https://www.graysharbor.us/howdoi/small_works_projects_awarded.php,0.9,,Electrical
123 IRRIGATION LLC,(425) 548-0154,19204 3RD DR SE,,BOTHELL,WA,https://www.redfin.com/WA/Leavenworth/123-Jaybird-Ln-98826/home/75144668,0.9,True,Landscaping
1-800-BOARDUP OF CLARK COUNTY,(248) 594-1144,185 OAKLAND AVENUE,,BIRMINGHAM,MI,https://1-800boardup.com/locations/,0.9,True,Handyman
1ST PROSERVICE LLC,(206) 495-2060,19007 133rd st ct e,,Bonney Lake,WA,https://www.1stproservice.com/areas-we-serve,0.9,True,Handyman
360 ROOFING & CONSTRUCTION LLC,(360) 670-7086,1014 S CHASE ST,,PORT ANGELES,WA,https://www.360roofingandconstru.com,0.9,True,Roofing
1ST CHOICE CUSTOM HOMES LLC,(425) 941-3533,PO BOX 63,,FALL CITY,WA,https://1stchoicecustomhomes.com,0.9,True,Custom Homebuilder
1-800-WATERDAMAGE,(360) 737-9812,PO Box 822796,,Vancouver,WA,https://www.1800waterdamage.com/vancouver-portland/,0.9,True,Water Damage Restoration
1 STRUCTURE LLC,(360) 694-2552,212 NE 83RD ST,,VANCOUVER,WA,https://1structure.com/,0.9,False,Commercial Contractors
2 THE POINT LLC,(206) 861-4380,5418 183RD AVE E,,LAKE TAPPS,WA,https://www.2thepoint.com,0.9,,
211-WLD KILBIRNIE LLC,(425) 576-9390,1010 MARKET STREET,,KIRKLAND,WA,https://www.211wldkilbirnie.com,0.9,,Handyman
1 Epic Installation LLC,(206) 423-9071,P O Box 88831,,TUKWILA,WA,https://www.1epicinstallation.com,0.9,,Handyman
1855SLABJACK,(509) 888-4600,720 BRIARWOOD TERRACE,,EAST WENATCHEE,WA,https://slabjackgeotechnical.com/geotech/,0.9,True,Concrete
1-800-BOARDUP,(206) 522-9570,3701 W G St,,Bremerton,WA,https://1-800boardup.com/store/seattle/,0.9,True,Handyman
"2 OLD GUYS CONSTRUCTION, LLC",(425) 971-4074,1427 100TH ST SW,UNIT 137,EVERETT,WA,https://3guysconstruction.com/,0.9,True,Concrete
A+ Construction & Remodeling,(509) 999-1576,4102 N Argonne Rd,,SPOKANE,WA,https://www.a+constructionandrem.com,0.9,True,General Contractor
1-800-BOARDUP,(360) 345-1095,1581 N NATIONAL AVE,,CHEHALIS,WA,https://1-800boardup.com/locations/,0.9,True,Handyman
AB ROOFING & PAINTING LLC,(509) 306-1814,6713 Blackjack Ave,,Inyokern,CA,https://www.abroofingandpainting.com,0.9,True,Roofing
A C ROOFING CONTRACTOR LLC,(425) 496-9121,2209 NE 9TH PL,,RENTON,WA,https://www.acroofingcontractorl.com,0.9,True,Roofing
A+ CONSTRUCTION & PAINTING,(206) 679-3633,5647 23RD AVE SW,,SEATTLE,WA,https://www.a+constructionandpai.com,0.9,True,Painting
24 HOUR FLOOD RESPONSE,(206) 380-4986,PO BOX 30937,,SEATTLE,WA,https://24hourfloodresponse.com,0.9,True,Water Damage Restoration
1ONE CONSTRUCTION LLC,(425) 478-8893,4732 20th Ave NE #402,,SEATTLE,WA,https://1oneconstruction.com,0.9,True,Remodeling
12 GENERAL CONSTRUCTION LLC,(253) 391-1178,124 192ND ST CT E,,Spanaway,WA,https://www.12generalconstructionllc.com/,0.9,True,Roofing
1ST AVE KITCHEN & BATH INC,(206) 402-3582,2921 1ST AVE S,,SEATTLE,WA,https://1st.net,0.9,True,Kitchen & Bath
3 FOLD CONSTRUCTION/PAINTING,(541) 806-0642,900 Methodist Rd.,,HOOD RIVER,OR,https://www.3foldconstruction/pa.com,0.9,True,Painting
1MANHANDYMAN LLC,(360) 244-3257,408 S 15th Ave,,YAKIMA,WA,https://data.wa.gov/api/views/m8qx-ubtq/rows.csv?accessType=DOWNLOAD&api_foundry=true,0.9,True,Handyman
A B M PAINTING CONTRACTOR,(360) 574-8324,10013 NE HAZELDELL AVE STE 166,,VANCOUVER,WA,https://www.abmpaintingcontracto.com,0.9,True,Painting
1794 EXCAVATING LLC,(253) 255-1794,1705 LOWELL AVE,,ENUMCLAW,WA,https://apps.ecology.wa.gov/paris/PermitsBySIC-NAICS.aspx?ctl00_ContentPlaceHolder1_RadGridPermitSearchResultsChangePage=194_50,0.9,,Excavation
