business_name,phone_number,address_line_1,address2,city,state,zip_code,website_url,confidence_score,is_home_contractor,mailer_category,processing_status,last_processed
2 SONS PLUMBING,(206) 736-6300,106 FRONTAGE RD N,,PACIFIC,WA,,https://www.phccwa.org/find-a-contractor/2-sons-plumbing,1.0,True,Plumbing,completed,2025-07-23 18:20:48
1LIFE CONSTRUCTION INC,(206) 676-2192,12345 LAKE CITY WAY #311,,SEATTLE,WA,,https://thepipedr.com/12345-lake-city-way-ne-ste-311-seattle-wa-98125/,1.0,True,Plumbing,completed,2025-07-23 05:17:43
21st Century Electric LLC,(509) 670-1724,796 N Grover PL,,EAST WENATCHEE,WA,,https://www.chelanpud.org/environment/solar-power,1.0,True,Electrical,completed,2025-07-23 18:28:17
1ST CALL PLUMBING & HTG LLC,(253) 244-4325,6817 27TH ST W,#65761,TACOMA,WA,,https://1st.net,1.0,,Plumbing,completed,2025-07-23 05:27:10
1ST CLASS PAVING,(360) 202-5200,16821 SMOKEY POINT BLVD,APT 213,ARLINGTON,WA,,https://www.a1asphaltpc.com/,1.0,True,Concrete,completed,2025-07-23 17:57:30
101 ROOF CLEANING,(360) 531-3321,109 SOUTHWESTERN PL,,SEQUIM,WA,,https://nextdoor.com/pages/101-roof-cleaning-port-townsend-wa/,1.0,True,Roofing,completed,2025-07-23 03:19:07
1-2-3 CONSTRUCTION LLC,(360) 720-1125,2265 Aviator Ln,,OAK HARBOR,WA,,https://www.1-2-3construction.com/,1.0,True,Kitchen & Bath,completed,2025-07-23 03:17:26
206 CREW LLC,(206) 458-3780,PO BOX 31039,,SEATTLE,WA,,https://www.sledgeseattle.com/,1.0,True,Demolition,completed,2025-07-23 18:23:50
1 TOM PLUMBER,(509) 727-3413,6250 W CLEARWATER AVE STE 101,,KENNEWICK,WA,,https://www.1tomplumber.com/tri-cities/,1.0,True,Plumbing,completed,2025-07-23 03:17:15
20th Century Contracting,(360) 606-8451,2417 NE 102nd St.,,VANCOUVER,WA,,https://www.20thcenturyroofing.com/,1.0,True,Roofing,completed,2025-07-23 18:25:15
1ST RESPONSE PLUMBING,(509) 847-8372,9917 N EDNA ST,,SPOKANE,WA,,https://1stresponseplumbing.com,1.0,True,Plumbing,completed,2025-07-23 18:16:03
1ST PLACE STRIPING,(425) 357-8249,13612 60TH AVE SE,,EVERETT,WA,,http://www.1stplacestriping.com/services.cfm,1.0,False,Concrete,completed,2025-07-23 18:15:41
10733 MERIDIAN AVE NE LLC,(425) 290-2755,6501 EAGLE ROCK NE,STE B5,ALBUQUERQUE,NM,,https://www.10733meridianavene.com,1.0,,Handyman,completed,2025-07-23 03:19:32
2 THE T EXTERIOR LLC,(206) 504-0518,27408 129TH PL SE,,KENT,WA,,https://www.2thetexterior.com,1.0,,Handyman,completed,2025-07-23 18:21:37
1ST RATE CONST & DRN WZD INC,(253) 347-7015,4227 S MERIDAN STE C#209,,PUYALLUP,WA,,https://www.1strateconstanddrnwzd.com,1.0,,Handyman,completed,2025-07-23 18:16:56
1 STUMP AT A TIME,(206) 354-9491,14918 39th Ave NW,"Stanwood, Wa.",Stanwood,WA,,https://www.1stumpatatime.net,1.0,True,Landscaping,completed,2025-07-23 03:17:12
206PAINTERS LLC,(206) 419-0991,8828 218th St SW,,Edmonds,WA,,https://www.206painters.com,1.0,,Painting,completed,2025-07-23 18:25:08
12 MOONS LLC,(360) 909-6051,3900 NE 82ND STREET,,VANCOUVER,WA,,https://www.12moons.com,1.0,,General Contracting,completed,2025-07-23 03:20:48
1 RV PAINTING & RMDLNG LLC,(206) 602-0148,660 SW 132ND ST,,BURIEN,WA,,https://www.1rvpaintingandrmdlng.com,1.0,True,Painting,completed,2025-07-23 03:16:48
101 Pest Control LLC,(360) 670-3085,P O BOX 548,,CARLSBORG,WA,,https://www.101pestcontrol.com,1.0,True,Pest Control,completed,2025-07-23 03:19:25
1ST RESPONSE HTG/AIR SLTNS LLC,(206) 643-1525,1731 113th Drive Southeast,,LAKE STEVENS,WA,,https://www.1stresponsehtgairsltns.com,1.0,True,HVAC,completed,2025-07-23 18:16:09
1ST PLACE CONCRETE LLC,(509) 302-5679,209903 E 315 PRSE,,KENNEWICK,WA,,https://www.1stplaceconcrete.com,1.0,,Concrete,completed,2025-07-23 18:15:53
2 AMIGOS ROOFING LLC,(509) 834-9739,402 S. 9TH AVE,,YAKIMA,WA,,https://www.2amigosroofing.com,1.0,,Roofing,completed,2025-07-23 18:17:25
2 COATS PAINTING LLC,(360) 601-2730,12612 NE 26TH ST,,VANCOUVER,WA,,https://www.2coatspainting.com,1.0,True,Painting,completed,2025-07-23 18:18:25
1 HANDY MAN SRVC/DSGN LLC,(425) 314-4393,3009 184TH PL NE,,ARLINGTON,WA,,https://www.1handymansrvcdsgn.com,1.0,True,Handyman,completed,2025-07-23 03:16:44
#1 AQUA MATTERS,(206) 931-2595,8825 34TH AVE NE #L413,,MARYSVILLE,WA,,https://www.1aquamatters.net,1.0,,Plumbing,completed,2025-07-23 03:10:55
20/20 EXTERIORS,(509) 688-4480,914 N COUNTRY CLUB DRIVE,,DEER PARK,WA,,https://www.2020exteriors.net,1.0,True,Roofing,completed,2025-07-23 18:21:51
10X20 PERFORMANCE FBRCTN LLC,(509) 619-2024,502 E VINEYARD DR,Suite A,PASCO,WA,,https://www.10x20performancefbrctn.com,1.0,,Metal Fabrication,completed,2025-07-23 03:19:47
@HOME ESSENTIAL SERVICES LLC,(360) 919-6806,2950 NEWMARKET ST  STE 101-285,,BELLINGHAM,WA,,https://www.homeessentialservices.com,1.0,True,Handyman,completed,2025-07-23 03:16:01
1 CHANCE CONCRETE & LNDSNG LLC,(360) 451-7021,1504 Judd St,,OLYMPIA,WA,,https://www.1chanceconcreteandlndsng.com,1.0,,Concrete,completed,2025-07-23 03:16:35
1002 COATINGS & CONST LLC,(253) 678-1806,PO BOX 1445,,SUMNER,WA,,https://www.1002coatingsandconst.com,1.0,,Painting,completed,2025-07-23 03:18:52
2 BROTHERS CONTRACTING LLC,(360) 909-2265,7017 NE 124TH AVE,,VANCOUVER,WA,,https://www.2brotherscontracting.com,1.0,True,Roofing,completed,2025-07-23 18:17:44
1-800 PLUMBER & AIR PACIFIC NW,(503) 676-3449,9735 SW SUNSHINE CT ST 100,,BEAVERTON,OR,,https://1800plumber.com/portland-or/,1.0,True,Plumbing,completed,2025-07-23 03:17:35
1STOP INTERIOR,(360) 676-6034,345 Ohio St,,BELLINGHAM,WA,,https://www.1stopinterior.net,1.0,True,Flooring,completed,2025-07-23 18:16:12
1-2-3 PLUMBING LLC,(253) 882-4845,8115 18TH AVE CT E,,TACOMA,WA,,https://www.123plumbing.com,1.0,,Plumbing,completed,2025-07-23 03:17:35
1 WAY ELECTRICAL SERVS LLC,(206) 694-9024,1107 NW 61ST ST,,SEATTLE,WA,,https://www.1wayelectricalservs.com,1.0,,Electrical,completed,2025-07-23 03:17:20
2 SONS PLUMBING LLC,(206) 736-6300,PO Box 371,,HOBART,WA,,https://www.2sonsplumbing.com,1.0,True,Plumbing,completed,2025-07-23 18:20:56
1040WINDOWREMODELING L L C,(971) 777-5107,9906 NE 39TH ST,,VANCOUVER,WA,,https://www.1040windowremodelingllc.net,1.0,True,Windows & Doors,completed,2025-07-23 03:19:25
12 TILE,(206) 422-1359,12907 E gibson rd,F101,Everett,WA,,https://www.12tile.net,1.0,True,Flooring,completed,2025-07-23 03:20:58
1ST PRECISION PAINTING,(208) 757-0710,13308 E 12TH AVE,,SPOKANE VALLEY,WA,,https://www.1stprecisionpainting.com,1.0,,Painting,completed,2025-07-23 18:15:48
123 Electric Service Inc,(425) 455-2027,14725 NE 20TH STREET D-12,,Bellevue,WA,,https://123electricservice.com/,1.0,True,Electrical,completed,2025-07-23 04:54:08
1ST CHOICE ROOFING & SDNG LLC,(509) 845-6908,2111 N 19TH DR,,PASCO,WA,,https://1st.net,1.0,,Roofing,completed,2025-07-23 05:29:26
2 A T PAINTING LLC,(360) 840-5052,1239 Feather Ln,,OAK HARBOR,WA,,https://www.2atpainting.com,1.0,True,Painting,completed,2025-07-23 18:17:05
2 BROTHERS CONCRETE LLC,(206) 941-8858,4040 AUBURN WAY S TRLR 59,,AUBURN,WA,,https://www.2brothersconcrete.org/,1.0,True,Concrete,completed,2025-07-23 18:17:37
12 CUSTOM HOMES LLC,(509) 423-4969,208 COTTAGE AVE #1,,CASHMERE,WA,,https://www.12customhomes.com,1.0,True,Custom Homes,completed,2025-07-23 03:20:48
11TH HR WELDING  FAB & RPR LLC,(702) 232-6433,300 SE 6TH CIRCLE,,BATTLE GROUND,WA,,https://www.11thhrweldingfabandrpr.com,1.0,,Handyman,completed,2025-07-23 03:20:31
10/Zero5 General Contr LLC,(509) 539-2907,5609 W. Richardson Rd.,,PASCO,WA,,https://www.10zero5generalcontr.com,1.0,,Handyman,completed,2025-07-23 03:18:38
@ YOUR SERVICE HOME APPL RPR,(425) 814-9462,13106 133RD PL NE,,KIRKLAND,WA,,https://www.yourservicehomeapplrpr.net,1.0,True,Handyman,completed,2025-07-23 03:16:09
(TCHS) TRI-CITIES HOMES SERV,(509) 907-2154,241 JAMES ST,,WEST RICHLAND,WA,,https://www.tchstricitieshomesserv.net,1.0,True,Handyman,completed,2025-07-23 03:15:57
& BUILD,(206) 271-1267,1622 Queen Anne Ave N,,SEATTLE,WA,,https://www.andbuild.net,1.0,,Handyman,completed,2025-07-23 03:12:20
+1 HAMMER LLC,(509) 679-2915,925 MALAGA AVE,,WENATCHEE,WA,,https://www.1hammer.com,1.0,,Painting,completed,2025-07-23 03:16:04
12 BROTHERS CONSTRUCTION LLC,(206) 922-9441,15102 SE 184TH ST,,Renton,WA,,https://www.12brothersconstruction.com,1.0,,Handyman,completed,2025-07-23 03:20:27
1 NEW MECHANICAL LLC,(425) 326-7551,11906 206TH AVE SE,,SNOHOMISH,WA,,https://www.1newmechanical.com,1.0,,HVAC,completed,2025-07-23 03:17:09
1st Choice Plumbing & Rep. LLC,(509) 895-4035,40 Stohler Rd,,SELAH,WA,,https://1st.net,1.0,,Plumbing,completed,2025-07-23 05:28:49
2 BROS FLOORING LLC,(971) 344-7396,111 NW 148th St,,Vancouver,WA,,https://www.2brosflooring.com,1.0,,Flooring,completed,2025-07-23 18:17:51
12 DECKS & FENCES LLC,(206) 487-6747,13915 99TH AVE SE,,Snohomish,WA,,https://12decks.vercel.app/,1.0,True,Fencing,completed,2025-07-23 03:20:36
1ST CHOICE PLUMBING INC,(425) 876-8015,PO BOX 3875,,EVERETT,WA,,https://1st-choice-plumbing.com,1.0,True,Plumbing,completed,2025-07-23 05:29:00
1-800-STRIPER OF BELLEVUE,(425) 532-5401,11112 NE 124TH LN APT D213,,KIRKLAND,WA,,https://1800striper.com/striper-of-bellevue/,1.0,False,Painting,completed,2025-07-23 03:17:58
2 BROTHERS STONE MASONRY LLC,(509) 528-1032,1007 S 5TH AVE,,PASCO,WA,,https://www.2brothersstonemasonry.com,1.0,,Concrete,completed,2025-07-23 18:18:18
#1 SIDING LLC,(360) 721-4342,5600 MT SOLO RD,UNIT 144,LONGVIEW,WA,,https://www.1siding.com,1.0,,Siding,completed,2025-07-23 02:35:15
23RD ST GARDENING & DESIGN,(425) 335-5287,1911 23RD ST,,ANACORTES,WA,,https://www.23rdstgardeninganddesign.net,1.0,True,Landscaping,completed,2025-07-23 18:29:11
10 STAR PAINTING LLC,(206) 914-6434,30132 36TH PL S,,AUBURN,WA,,https://www.10starpainting.com,1.0,,Painting,completed,2025-07-23 03:18:34
100 Oaks Nrsy Lndscp/Grdn Srvs,(360) 789-0873,5411 Camelot Dr. SW,,OLYMPIA,WA,,https://www.100oaksnrsylndscpgrdnsrvs.net,1.0,True,Landscaping,completed,2025-07-23 03:18:45
100% PAINTING LLC,(360) 878-4206,PO BOX 356,,TENINO,WA,,https://www.100painting.com,1.0,True,Painting,completed,2025-07-23 03:18:51
23 CONCRETE LLC,(206) 640-4723,4970 NE 193RD ST,,LAKE FOREST PARK,WA,,https://www.23concrete.com,1.0,,Concrete,completed,2025-07-23 18:28:42
$AVER HARDWOOD FLOORS LLC,(206) 372-5166,17442 116th Ave SE,,RENTON,WA,,https://www.averhardwoodfloors.com,1.0,True,Flooring,completed,2025-07-23 02:35:15
12 GENERAL HANDYMAN,(253) 391-9545,7816 OAKRIDGE DR SW,,LAKEWOOD,WA,,https://www.12generalhandyman.com,1.0,,Handyman,completed,2025-07-23 03:20:50
2020 Electric Company LLC,(360) 661-1781,PO BOX 150,,GREENBANK,WA,,https://www.2020electriccompany.com,1.0,,Electrical,completed,2025-07-23 18:23:32
24 HOUR LOCK AND KEY LLC,(971) 720-9939,2512 E EVERGREEN BLVD #31,,Vancouver,WA,,https://www.24hourlockandkey.com,1.0,True,Handyman,completed,2025-07-23 18:59:51
206 FLOORING LLC,(425) 802-1752,4227 W LK SAMMAMISH PKWY NE,,REDMOND,WA,,https://www.206flooring.com,1.0,,Flooring,completed,2025-07-23 18:24:19
# JUAN HANDYMAN LLC,(509) 847-9082,21313 W. Sunwest Ave.,,Medical Lake,WA,,https://www.juanhandyman.com,1.0,True,Handyman,completed,2025-07-23 03:11:07
$100 OVER COST PAINTING CO LLC,(509) 598-9842,1604 E Rich Ave,,SPOKANE,WA,,https://www.100overcostpaintingco.com,1.0,,Painting,completed,2025-07-23 02:35:15
101 ROOFING LANDSCAPING,(360) 204-3502,15800 SCANDIA RD NW,TRLR #25,POULSBO,WA,,https://www.101roofinglandscaping.com,1.0,True,Roofing,completed,2025-07-23 03:19:25
+SUN TREE SERVICE LLC,(253) 468-0554,11011 Park Ave S,Apt C110,Parkland,WA,,https://www.suntreeservice.com,1.0,True,Landscaping,completed,2025-07-23 03:16:09
1-UP CONTRACTING,(360) 349-6099,214 MCKENA LN SW,,TUMWATER,WA,,https://www.1upcontracting.net,1.0,True,Insulation,completed,2025-07-23 03:18:19
1 CROWN FLOORING LLC,(253) 301-7276,5017 Mariner St.,,Gig Harbor,WA,,https://www.1crownflooring.com,1.0,True,Flooring,completed,2025-07-23 03:16:21
21ST CENTURY ELECTRIC,(360) 990-5012,9187 W BELFAIR VALLEY RD,,BREMERTON,WA,,https://www.21stcenturyelectric.net,1.0,,Electrical,completed,2025-07-23 18:28:08
10 PENNY HOMES LLC,(425) 218-5276,8510 10TH AVE W B305,,EVERETT,WA,,https://www.10pennyhomes.com,1.0,True,Handyman,completed,2025-07-23 03:18:27
11043 PALATINE AVE N LLC,(425) 212-2210,3726 BROADWAY  STE 301,,EVERETT,WA,,https://www.11043palatineaven.com,1.0,True,Handyman,completed,2025-07-23 03:19:56
1 BLOCK BROS LLC,(425) 367-7706,14220 57TH DR SE,,EVERETT,WA,,https://www.1blockbros.com,1.0,,Handyman,completed,2025-07-23 03:16:17
1 STOP REAL ESTATE REHAB LLC,(360) 239-0222,11625 NISQUALLY PARK LOOP SE,,OLYMPIA,WA,,https://www.1stoprealestaterehab.com,1.0,,Handyman,completed,2025-07-23 03:17:09
101 WEST LLC,(425) 329-8202,PO BOX 2289,,SNOHOMISH,WA,,https://www.101west.com,1.0,,Handyman,completed,2025-07-23 03:19:04
2001-WLD BRAES PARK LLC,(425) 576-9390,1010 MARKET ST,,KIRKLAND,WA,,https://www.2001wldbraespark.com,1.0,,Handyman,completed,2025-07-23 18:22:21
2003-WLD BRUNTSFIELD LLC,(425) 576-9390,1010 MARKET STREET,,KIRKLAND,WA,,https://www.2003wldbruntsfield.com,1.0,,Handyman,completed,2025-07-23 18:22:58
12 HAWK CONTRACTING LLC,(425) 750-7444,10529 25TH DR SE,,EVERETT,WA,,https://www.12hawkcontracting.com,1.0,,Handyman,completed,2025-07-23 03:20:42
13THIRTYSEVEN ELECTRIC LLC,(425) 830-7342,7711 EASY ST,,EVERETT,WA,,https://archive.org/stream/NewsUK1977UKEnglish/Jan%2014%201977%2C%20The%20Times%2C%20%2359907%2C%20UK%20%28en%29_djvu.txt,1.0,,Electrical,completed,2025-07-23 04:55:51
12TH HANDYMAN,(707) 364-3996,5706 17TH AVE NW,UNIT 17346,SEATTLE,WA,,https://www.12thhandyman.com/,1.0,True,Handyman,completed,2025-07-23 04:54:45
1ST PROPANE OF WHATCOM CTY INC,(360) 332-3121,2163 NATURES PATH WAY,,BLAINE,WA,,https://www.1stpropaneofwhatcomcty.com,1.0,,HVAC,completed,2025-07-23 18:15:58
1 TOM PLUMBER STTL & GRTR ES,(425) 256-3408,20109 144TH AVENUE NE,,WOODINVILLE,WA,,https://us.nextdoor.com/pages/1-tom-plumber-woodinville-wa/,1.0,True,Plumbing,completed,2025-07-23 03:17:26
1 MAN & A TRACTOR,(253) 258-4703,769 NE WOODS PLACE,,BREMERTON,WA,,https://www.1manandatractor.net,1.0,,Handyman,completed,2025-07-23 03:16:39
1-800 WATER DAMAGE/S PGT SD,(253) 927-4165,PO BOX 1327,,MILTON,WA,,https://www.1800waterdamagespgtsd.net,1.0,True,Water Damage Restoration,completed,2025-07-23 03:17:53
1-A CONSTRUCTION & FIRE LLP,(541) 567-5730,31156 FOLLETT LANE,,HERMISTON,OR,,https://www.1aconstructionandfirellp.com,1.0,,Excavation,completed,2025-07-23 03:18:15
10 POINT CONSTRUCTION SRVS LLC,(253) 861-4544,5631 29TH ST NE,,TACOMA,WA,,https://www.10pointconstructionsrvs.com,1.0,,Handyman,completed,2025-07-23 03:18:31
1 LEG ENTERPRISES LLC,(509) 378-6926,211 N LINCOLN ST,,KENNEWICK,WA,,https://www.1legenterprises.com,1.0,,Handyman,completed,2025-07-23 03:16:42
1ST CHOICE LANDSCAPING INC,(360) 926-3004,17902 29TH AVE NE,,Marysville,WA,,https://1stchoicelandscapinginc.com/,1.0,True,Landscaping,completed,2025-07-23 05:28:37
1 SON MASONRY LLC,(360) 880-4370,122 Debra LN,,ONALASKA,WA,,https://www.1sonmasonry.com,1.0,,Concrete,completed,2025-07-23 03:17:09
&RU ENTERPRISES LLC,(509) 475-2600,3710 E CONGRESS AVE,,SPOKANE,WA,,https://www.andruenterprises.com,1.0,,Handyman,completed,2025-07-23 03:12:25
1812 EXTERIOR SOLUTIONS LLC,(253) 797-7172,2602 Westridge Ave W,Apt m303,Tacoma,WA,,https://www.1812exteriorsolutions.com,1.0,,Roofing,completed,2025-07-23 04:58:03
1ST CHOICE CONSTRUCTION INC,(253) 569-4588,410 Main St,,Algona,WA,,https://1stchoicehomeconstruction.com/,1.0,True,Roofing,completed,2025-07-23 05:27:48
108 Contractors,(253) 347-7547,34407 8th CT SW,,FEDERAL WAY,WA,,https://www.108contractors.com,1.0,,Handyman,completed,2025-07-23 03:19:32
110% LLC,(360) 259-7189,206 W YELM AVE,,YELM,WA,,https://www.110.com,1.0,,Handyman,completed,2025-07-23 03:19:59
11202 LLC,(206) 797-9700,7900 SE 28TH ST STE 412,,MERCER ISLAND,WA,,https://www.11202.com,1.0,,Handyman,completed,2025-07-23 03:20:04
11336 20TH AVE NE LLC,(425) 212-2210,"3726 BROADWAY, SUITE 301",,EVERETT,WA,,https://www.1133620thavene.com,1.0,,Handyman,completed,2025-07-23 03:20:20
1134 LAKESIDE SOUTH LLC,(206) 254-5606,1111 3RD AVE STE 3000,,SEATTLE,WA,,https://www.1134lakesidesouth.com,1.0,,Handyman,completed,2025-07-23 03:20:13
2 GRADE LLC,(360) 461-3992,PO BOX 1570,,PORT ANGELES,WA,,https://www.2grade.com,1.0,,Handyman,completed,2025-07-23 18:18:48
12921 DEVELOPMENT LLC,(425) 443-2152,18978 ANGELINE AVE NE,,SUQUAMISH,WA,,https://www.12921development.com,1.0,,Handyman,completed,2025-07-23 04:54:48
1528 NE 89TH STREET LLC,(425) 212-2210,3726 BROADWAY  STE 301,,EVERETT,WA,,https://www.1528ne89thstreet.com,1.0,,Handyman,completed,2025-07-23 04:56:48
11210 LLC,(425) 453-8886,10608 NE 2nd St Suite 202,,BELLEVUE,WA,,https://www.11210.com,1.0,,Handyman,completed,2025-07-23 03:20:13
222 ELECTRIC CO,(253) 222-4605,11806 221ST AVE E,,BONNEY LAKE,WA,,https://www.seattlelighting.com/,1.0,True,Electrical,completed,2025-07-23 18:28:24
1 FOUNDATION,(253) 335-8991,1403 23RD AVE,,MILTON,WA,,https://www.1foundation.net,1.0,,Concrete,completed,2025-07-23 03:16:37
180 ELECTRIC LLC,(509) 475-1350,12123 E. Grace Ave.,,SPOKANE VALLEY,WA,,https://www.spokanevalleyed.org/DocumentCenter/View/2374,1.0,,Electrical,completed,2025-07-23 04:57:53
(H)ANDYMAN LLC,(206) 963-7622,10248 1ST AVENUE SOUTHWEST,,SEATTLE,WA,,https://www.handyman.com,1.0,True,Handyman,completed,2025-07-23 03:12:15
# JUAN HANDYMAN,(509) 847-9082,2324 E BOONE AVE,,SPOKANE,WA,,https://www.juanhandyman.com,1.0,,Handyman,completed,2025-07-23 03:10:51
#1 PRO POWER WASHING SERVICES,(435) 260-9855,75 VINE ST,APT 506,SEATTLE,WA,,https://www.1propowerwashingservices.net,1.0,True,Handyman,completed,2025-07-23 03:12:18
1901-WLD KENMORE 68TH LLC,(425) 576-9390,1010 MARKET ST,,KIRKLAND,WA,,https://www.1901wldkenmore68th.com,1.0,,Handyman,completed,2025-07-23 04:58:31
+1 Construction LLC,(509) 679-2915,925 Malaga Ave.,,WENATCHEE,WA,,https://www.1construction.com,1.0,,Handyman,completed,2025-07-23 03:15:54
2 BEARS DEVELOPME & CONST LLC,(360) 787-3465,2610 NE 51ST ST,,VANCOUVER,WA,,https://www.2bearsdevelopmeandconst.com,1.0,,Handyman,completed,2025-07-23 18:17:29
1958 TUDOR LLC,(425) 628-8211,9714 Chapman Dr NW,,GIG HARBOR,WA,,https://www.1958tudor.com,1.0,,Handyman,completed,2025-07-23 04:58:35
#6 Productions LLC,(509) 859-3466,3430 Number 6 Rd,,ELLENSBURG,WA,,https://www.6productions.com,1.0,,,completed,2025-07-23 02:35:15
2 G CONSTRUCTION,(509) 524-3404,611 E ROSE ST,,WALLA WALLA,WA,,https://www.2gconstruction.com,1.0,,Handyman,completed,2025-07-23 18:18:35
2 GENERATIONS CONSTRUCTION LLC,(509) 302-0274,6816 W YELLOWSTONE AVE,,Kennewick,WA,,https://www.2generationsconstruction.com,1.0,,Handyman,completed,2025-07-23 18:18:27
1ST CHOICE PLUMBING INC,(425) 750-7013,PO BOX 3875,,EVERETT,WA,,https://1st-choice-plumbing.com,1.0,True,Plumbing,completed,2025-07-23 05:29:09
2 GUYS PLUMBING LLC,(360) 274-3453,PO BOX 1386,,CASTLE ROCK,WA,,https://www.2guysplumbing.com/drain-cleaning,1.0,True,Plumbing,completed,2025-07-23 18:18:41
1 Savanni LLC,(425) 220-1777,5323 150TH PL SW,,EDMONDS,WA,,https://www.1savanni.com,1.0,,Handyman,completed,2025-07-23 03:17:04
21ST CENTURY CONSTRUCTION LLC,(509) 934-8404,207 Maven Way,,CHEWELAH,WA,,https://www.21stcenturyconstruction.com,1.0,,Handyman,completed,2025-07-23 18:27:56
212-WLD ABERDOUR LLC,(425) 576-9390,1010 MARKET ST,,KIRKLAND,WA,,https://www.212wldaberdour.com,1.0,,Handyman,completed,2025-07-23 18:26:40
1 CALL CONSTRUCTION LLC,(360) 957-3383,315 McGeary Rd,,KELSO,WA,,https://www.1callconstruction.com,1.0,,Handyman,completed,2025-07-23 03:16:30
#1EAGLEREMODELING LLC,(206) 372-8756,16821 3RD AVE CT E,,SPANAWAY,WA,,https://www.1eagleremodeling.com,1.0,,,completed,2025-07-23 02:35:15
12051 20TH AVE NE LLC,(425) 212-2210,3726 BROADWAY  STE 301,,EVERETT,WA,,https://www.1205120thavene.com,1.0,,Handyman,completed,2025-07-23 04:54:11
1-16 INSTALLATION LLC,(253) 886-3937,1137 123RD AVE CT E,,EDGEWOOD,WA,,https://www.116installation.com,1.0,,Handyman,completed,2025-07-23 03:17:27
11737 40TH AVE NE LLC,(425) 344-3048,210 E BOSTON ST,,SEATTLE,WA,,https://www.1173740thavene.com,1.0,,Handyman,completed,2025-07-23 03:20:22
#1 CONSTRUCTION,(206) 383-3737,918 S 301ST ST,,FEDERAL WAY,WA,,https://www.1construction.com,1.0,,General Contractor,completed,2025-07-23 03:12:22
2 RIVERS ABATEMENT LLC,(509) 221-8207,31505 S 2200 PR SE,,KENNEWICK,WA,,https://www.2riversabatement.com,1.0,,Asbestos Abatement,completed,2025-07-23 18:20:28
2 CANNON RIVER CONST LLC,(509) 520-3138,106 W BAILEYSBURG LN,,DAYTON,WA,,https://www.2cannonriverconst.com,1.0,,Handyman,completed,2025-07-23 18:18:07
10 PENNY CONSTRUCTION,(509) 699-6534,3618 BURCHVALE RD,,WENATCHEE,WA,,https://www.10pennyconstruction.com,1.0,,Handyman,completed,2025-07-23 03:18:21
1121 - 34TH AVE TOWNHOMES GC,(206) 347-3472,1115A 34TH AVE,,SEATTLE,WA,,https://www.112134thavetownhomesgc.net,0.95,,Handyman,completed,2025-07-23 03:20:04
11211 STERLING GC,(509) 943-1588,890 GEORGE WASHINGTON WAY,,RICHLAND,WA,,https://www.11211sterlinggc.net,0.95,,General Contractor,completed,2025-07-23 03:20:09
11 DEGREES RESIN,(425) 585-8293,826 RHODORA HEIGHTS RD,,LAKE STEVENS,WA,,https://www.11degreesresin.net,0.95,,Handyman,completed,2025-07-23 03:19:38
1 EZ SEPTIC SYSTEM INSTLR LLC,(509) 520-1586,906 PARALLEL ST,,MILTON FREEWATER,OR,,https://www.1ezseptic.com/,0.95,True,Septic Services,completed,2025-07-23 03:16:28
