business_name,contractor_license_number,contractor_license_type_code_desc,address1,address2,city,state,zip,phone_number,primary_principal_name,website_url,mailer_category,business_description,services_offered,confidence_score,website_confidence,classification_confidence,residential_focus,processing_status,review_status,last_processed,reviewed_at,created_at
3MICHAEL'S EXVTNG & LNDSCP LLC,3MICHEL811OT,CONSTRUCTION CONTRACTOR,14492 CHERRY CREEK PL SW,,PORT ORCHARD,WA,98367,(206) 554-9380,"WELSH, MICHAEL TERRANCE",https://3michaels.com,Landscaping,"3Michael's Construction specializes in high-quality construction, remodeling, and renovation services with a focus on craftsmanship and customer satisfaction.","Kitchen Remodeling, Bathroom Remodeling, Home Renovations, Custom Home Builds, Patio Construction, Flooring, Custom Carpentry, Painting",0.90,,0.90,,completed,approved_download,2025-08-01 04:34:33.238049,,2025-07-31 19:40:28.977388
4 A's Tree Services LLC,4ASTRAT923OT,CONSTRUCTION CONTRACTOR,2906 ST JOHNS BLVD,,VANCOUVER,WA,98661,(360) 513-5150,"CRUZ, VICENTE VASQUEZ",https://4astreeservices.com/,Landscaping,"4 A's Tree Services LLC offers complete services for trees, shrubs, and stumps with over 20 years of experience, providing reliable and professional tree services for both residential and commercial areas.","Tree Trimming, Storm Damage Cleanup, Blackberry/Ivy Removal, Shrub Removal and Trimming, Emergency Tree Removal, Pruning, Lot Cleaning, Stump Grinding, Wood Chipper Services",0.81,0.75,0.90,,completed,approved_download,2025-08-01 04:35:22.216404,,2025-07-31 19:40:28.977388
4 ACES RESTORATION LLC,4ACESAR838DF,CONSTRUCTION CONTRACTOR,2003 S 216TH AVE,,DES MOINES,WA,98198,(206) 335-9409,"Guillen Torres, Oscar",https://4acesrestoration.com,Asbestos Removal,"4 Aces Restoration specializes in asbestos removal, demolition, and water damage restoration services, serving the SeaTac and Tacoma areas.","Asbestos Removal, Asbestos Testing, Water Restoration, Mold Remediation, Demolition Services, Lead Abatement, Insulation Services, Crime Scene Cleanup",0.90,,0.90,,completed,approved_download,2025-08-01 04:35:31.422779,,2025-07-31 19:40:28.977388
5 STAR NW CONSTRUCTION LLC,5STARSN761L8,CONSTRUCTION CONTRACTOR,10605 SE 240TH ST,,KENT,WA,98031,(253) 397-9471,"YONKO, SAL JOSEPH",https://5starnwconstruction.com,Asphalt Maintenance,"5 Star NW Construction specializes in residential and commercial asphalt maintenance, including sealcoating, paving, pothole repair, crack filling, and parking lot striping.","Asphalt Paving, Asphalt Sealcoating, Pothole Repair, Crack Filling, Parking Lot Striping",0.90,,0.90,,completed,approved_download,2025-08-01 04:42:36.108496,,2025-07-31 19:40:29.116600
5 STARS DRYWALL LLC,5STARSD824DH,CONSTRUCTION CONTRACTOR,3001 S 288TH ST TRLR 78,,FEDERAL WAY,WA,98003,(206) 214-6912,"OSORIO RAMIREZ, KIMBERLY K",https://5starsdrywallllc.com,Drywall,"5 Stars Drywall LLC is a professional drywall company dedicated to customer satisfaction, offering a range of drywall services including installation, repair, and painting.","Full Drywall Services, Drywall Installation & Repair, Metal Framing, Interior Painting, Exterior Painting, Framing Texturing, Drywall Taping",0.90,,0.90,,completed,approved_download,2025-08-01 04:43:17.540008,,2025-07-31 19:40:29.116600
@ YOUR SERVICE HOME APPL RPR,YOURSYS966DH,ELECTRICAL CONTRACTOR,13106 133RD PL NE,,KIRKLAND,WA,98034,(425) 814-9462,"HOLLAND, HUBIE F",https://at-your-svc.com/,Electrical,"At Your Service Home Appliance Repair specializes in the repair and service of residential appliances, including kitchen, laundry, and outdoor appliances.","Home appliance repair, Kitchen appliance service, Laundry appliance service, Outdoor appliance repair",0.81,0.75,0.90,,completed,approved_download,2025-08-01 04:12:39.032694,,2025-07-31 19:40:28.977388
@ YOUR SERVICE HOME APPL RPR,YOURSYS884LO,CONSTRUCTION CONTRACTOR,13106 133RD PL NE,,KIRKLAND,WA,98034,(425) 814-9462,"HOLLAND, HUBIE FRANKLIN",https://at-your-svc.com/,Appliance Repair,"At Your Service Home Appliance Repair specializes in the repair and service of residential appliances, including kitchen, laundry, and outdoor appliances.","Kitchen appliance repair, Laundry appliance repair, Outdoor appliance repair, In and out of warranty service",0.83,0.75,0.95,,completed,approved_download,2025-08-01 04:12:33.437667,,2025-07-31 19:40:28.977388
A & A MASONRY & CONSTRUCTION,AAMASC*022PE,CONSTRUCTION CONTRACTOR,37629 51ST AVE S,,AUBURN,WA,98001,(253) 939-3729,"ARNDT, LESTER DEAN",https://aamasonryconstruction.com,Masonry,"A&A Masonry & Construction specializes in masonry services, particularly chimney repair, with over 30 years of experience.","Masonry, Chimney Repair, Restoration",0.90,,0.90,,completed,approved_download,2025-08-01 04:48:14.272257,,2025-07-31 19:40:29.116600
A & B FABRICATORS INC,BFABRBF946L6,CONSTRUCTION CONTRACTOR,231 D STREET NW,,AUBURN,WA,98001,(206) 763-2600,"THOMAS, TROY MICHAEL",https://abfabricators.com/,Metal Fabrication,"A & B Fabricators, Inc. is an industry-leading company specializing in custom metal fabrication, including stair guardrails, handrails, and decorative metals, with over 60 years of experience.","Custom Metal Fabrication, Design and Engineering, Project Management, Installation, Quality Control",0.81,0.75,0.90,,completed,approved_download,2025-08-01 04:48:28.820830,,2025-07-31 19:40:29.116600
A - LIST PLUMBING,LISTPLP783DB,PLUMBING CONTRACTOR,21133 22ND AVE W,,LYNNWOOD,WA,98036,(206) 734-8444,"SHOCKMAN, HEATH",https://alistplumbing.com,Plumbing,"A-List Plumbing is a premier plumbing provider in Washington, offering comprehensive services to residential and commercial clients.","Residential Plumbing, Commercial Plumbing, Emergency Plumbing, Water Heater Repair, Sewer Line Install and Repair, Clogged Drain Repair, Leak Detection Service, New Construction Plumbing",0.90,,0.90,,completed,approved_download,2025-08-01 04:54:15.493159,,2025-07-31 19:40:29.116600
A A ANDERSON CO,AAANDC*385BA,ELECTRICAL CONTRACTOR,1409 FOREST ST,,BELLINGHAM,WA,98225,(360) 734-7710,"WENDLING, SHARON A",http://mobile.forestst.comcastbiz.net/contact-us,Electrical,"A A Anderson Co. is a full-service electrical contractor based in Bellingham, WA, offering both residential and commercial electrical services.","Electrical repairs, Remodels, Service upgrades, HVAC services",0.81,0.75,0.90,,completed,approved_download,2025-08-01 04:54:24.320198,,2025-07-31 19:40:29.116600
A A ANDERSON CO INC,AAANDCI131LT,CONSTRUCTION CONTRACTOR,1409 N FOREST ST,,BELLINGHAM,WA,98225,(360) 734-7710,"WENDLING, SHARON ANN",http://mobile.forestst.comcastbiz.net/contact-us,Electrical,"A A Anderson Co Inc is a full-service electrical and HVAC contractor based in Bellingham, WA, providing both commercial and residential services.","Electrical repairs, Electrical remodels, Service upgrades, HVAC services, Sheet metal fabrication",0.81,0.75,0.90,,completed,approved_download,2025-08-01 04:54:27.601536,,2025-07-31 19:40:29.116600
A B PLUMBING LLC,BPLUMBP761OE,CONSTRUCTION CONTRACTOR,P.O. Box 647,,MCKENNA,WA,98558,(360) 481-5520,"BOSTWICK, ANDREW M",http://www.ezwaterheater.com/states/wa/plumbersWA.html,Plumbing,"A B Plumbing LLC is a plumbing contractor based in McKenna, WA, providing various plumbing services.",,0.81,0.75,0.90,,completed,approved_download,2025-08-01 04:55:37.469242,,2025-07-31 19:40:29.116600
A BETTER ROOFING COMPANY INC,BETTERC052DT,CONSTRUCTION CONTRACTOR,4126 AIRPORT WAY S,,SEATTLE,WA,98108,(206) 935-1575,"MACMILLAN, SCOTT ALLEN",https://www.abetterroofing.com/free-quote/,Roofing,A Better Roofing Company has been an industry leader in residential roof replacement and installation services in the Seattle area since 1991.,"Roof Replacement, Roof Installation, Roof Remodel",0.81,0.75,0.90,,completed,approved_download,2025-08-01 04:56:44.774578,,2025-07-31 19:40:29.116600
A BETTER WINDOW WASHING CO LLC,BETTEWW920M9,CONSTRUCTION CONTRACTOR,10343 13th Ave NW,,Bitter Lake,WA,98177,(206) 604-2988,"JACOBSEN, MITCHELL HJALMER",https://seattlewindowcleaning.com,Windows & Doors,Better Window Cleaning Seattle offers professional window cleaning and exterior cleaning services for both residential and commercial properties.,"Window Cleaning, Pressure Washing, Roof Moss Removal, Roof Cleaning, Gutter Cleaning, Solar Panel Cleaning, Commercial Services, Holiday Lighting",1.00,,1.00,,completed,approved_download,2025-08-01 04:56:59.353744,,2025-07-31 19:40:29.116600
A Better Crawl INC,BETTEBC914CD,CONSTRUCTION CONTRACTOR,6610 Kitsap Way,Ste. 101,BREMERTON,WA,98312,(360) 434-4222,"Baird, Melvin VAILE",https://www.abettercrawlinc.com/,Basement Waterproofing,"A Better Crawl, Inc. provides affordable permanent solutions to resolve crawl space and basement problems in Bremerton, WA, and surrounding areas.","Crawlspace Encapsulation, Basement Waterproofing, Cleanup & Restoration, Water Mitigation, Attic Insulation",0.81,0.75,0.90,,completed,approved_download,2025-08-01 04:56:07.038914,,2025-07-31 19:40:29.116600
A C ELECTRIC SERVICE,CELECCE873OZ,ELECTRICAL CONTRACTOR,20012 35 AVE S,,SEATAC,WA,98198,(206) 468-8668,"Hansen, Alyne",https://acelectricnw.com,Electrical,"A family-owned business serving Seattle and Puget Sound since 1977, providing trusted electrical and HVAC services.","Electrical installations and repairs, Electrical panel changes, Electrical remodeling, HVAC installation and maintenance, Ductless mini-split installations, Furnace upgrades and installations, Ductwork installation",1.00,,1.00,,completed,approved_download,2025-08-01 04:57:18.138013,,2025-07-31 19:40:29.116600
A C MOATE INDUSTRIES INC,ACMOAII965D2,CONSTRUCTION CONTRACTOR,2118 A STREET SE,,Auburn,WA,98002,(253) 887-9501,"MOATE, ALEJANDRA CAMACHO",https://www.acmoate.com/contact/,Concrete,"A.C. Moate Industries, Inc. is a licensed, bonded, and insured pavement contractor providing asphalt paving, sealcoating, crack filling, and maintenance services primarily for commercial and industrial properties.","Asphalt Paving, Pothole Repairs, Sealcoating, Striping, Crack Filling, Sweeping Services, Winter Services, Concrete Slab Installation",0.81,0.75,0.90,,completed,approved_download,2025-08-01 04:57:27.380311,,2025-07-31 19:40:29.116600
A DESIGN STUDIO SEATTLE,DESIGDS802CK,CONSTRUCTION CONTRACTOR,PO Box 496,,Snohomish,WA,98291,(360) 929-3077,"MUELLER, GRACIA ANN",https://adesignstudioseattle.com,Signage,"A Design Studio Seattle specializes in signage design, including wayfinding, brand identity, and ADA signage, offering comprehensive project management from design to installation.","Signage Design, Brand Implementation, Fabrication, Installation, Wayfinding, ADA Signage, Graphic Design",0.90,,0.90,,completed,approved_download,2025-08-01 04:59:10.169524,,2025-07-31 19:40:29.116600
A DESIGN STUDIO SEATTLE,DESIGDS782CP,ELECTRICAL CONTRACTOR,PO BOX 496,,SNOHOMISH,WA,982910496,(360) 929-3077,"MUELLER, GRACIA",https://adesignstudioseattle.com,Electrical,"A Design Studio Seattle specializes in signage design, including wayfinding, brand identity, and ADA signage, serving a variety of clients from local restaurants to national development groups.","Signage Design, Brand Implementation, Fabrication, Installation, Wayfinding, ADA Signage, Graphic Design",0.90,,0.90,,completed,approved_download,2025-08-01 04:59:03.674936,,2025-07-31 19:40:29.116600
A GLASS ENTERPRISE INC,GLASSEI936C6,CONSTRUCTION CONTRACTOR,212 SOUTH TOWER,,CENTRALIA,WA,98531,(360) 736-1141,"IVIE, CURTIS JAMES",https://www.aglassenterprise.com/,Auto Glass,"A Glass Enterprise Inc is a family-owned and operated company that has been providing glass sales, installations, and services for various products since 1975.","Glass sales, Glass installations, Auto glass services, Residential glass services, Commercial glass services, Emergency glass services",0.81,0.75,0.90,,completed,approved_download,2025-08-01 05:00:27.560718,,2025-07-31 19:40:29.116600
A J TILE,AJTIL**029MA,CONSTRUCTION CONTRACTOR,22523 39TH AVE SE,,BOTHELL,WA,980217942,(425) 486-1240,"BUTLER, ALBAN JOSEPH",https://www.ajtileandstone.com/contact.html,Flooring,AJ Tile & Stone specializes in residential and commercial tile and stone installation with a high degree of knowledge and craftsmanship.,"Tile installation, Stone installation, Custom tile services",0.81,0.75,0.90,,completed,approved_download,2025-08-01 05:01:35.420422,,2025-07-31 19:40:29.246584
A MILLICAN CRANE SERVICE INC,MILLICS934C2,CONSTRUCTION CONTRACTOR,180 NW Beaver Ridge Ln,,POULSBO,WA,98370,(360) 779-6723,"MILLICAN, ANDREW",https://www.millicancrane.com/contact-us/,Crane Service,"Millican Crane Service provides heavy-duty truck and crane rentals in the Pacific Northwest, specializing in reliable service and safety.","Crane rental, Truck rental, Diesel engine repair, Site preparation, Land clearing",0.81,0.75,0.90,,completed,approved_download,2025-08-01 05:03:26.042635,,2025-07-31 19:40:29.246584
A R D S CONTRACTING INC,RDSCORD795DS,CONSTRUCTION CONTRACTOR,16915 SE 272nd Street #100-70,,COVINGTON,WA,98042,(253) 970-6262,"STANLEY, ROBIN DUANE",https://www.ardscontractinginc.com/about,General Contracting,A.R.D.S. Contracting Inc. offers expert home remodeling and construction services with over 30 years of experience.,"Home Remodeling, Bathroom Remodeling, Kitchen Remodeling, Flooring, Siding, Decks, New Construction, Tenant Improvements",0.81,0.75,0.90,,completed,approved_download,2025-08-01 05:05:43.042399,,2025-07-31 19:40:29.246584
A ROOFING,ROOFIR*764KM,CONSTRUCTION CONTRACTOR,12300 N.E. WOODINVILLE DR.,,WOODINVILLE,WA,98072,(425) 867-9643,"RUBIN, TRACIE RENEE",https://aroofing.us/,Roofing,"A Roofing has been providing quality roofing, skylights, and gutter services to residents throughout Washington for over 40 years.","Roof installation, Roof repair, Skylight installation, Gutter installation and replacement",0.83,0.75,0.95,,completed,approved_download,2025-08-01 05:06:19.768223,,2025-07-31 19:40:29.246584
A Rightway Painting LLC,RIGHTRP892OL,CONSTRUCTION CONTRACTOR,1123 Wright Rd Se,,TENINO,WA,98589,(360) 464-8591,"Slinkard, Christian Andrew",https://www.procore.com/network/p/a-rightway-painting-tenino,Painting,A Rightway Painting specializes in interior and exterior painting services with over 30 years of combined experience.,"Interior Painting, Exterior Painting, High Performance Coatings, Special Coatings",0.85,0.75,1.00,,completed,approved_download,2025-08-01 05:06:14.640957,,2025-07-31 19:40:29.246584
A TO Z CUSTOM REMODELING LLC,ZCUSTZC822MT,CONSTRUCTION CONTRACTOR,37102 6th  Ave SW,,FEDERAL WAY,WA,98023,(206) 856-8688,"Surinov, Aleksandr V",http://atozcustomremodeling.com/,Remodeling,"A to Z Custom Remodeling specializes in a wide range of remodeling services including kitchen, bathroom, and basement remodels, as well as siding, decking, flooring, and handyman services.","Kitchen Remodeling, Bathroom Remodeling, Basement Remodeling, Siding, Decking, Flooring, Doors, Windows, Framing, Additions, Repairs, Power Washing, Handyman Services",0.81,0.75,0.90,,completed,approved_download,2025-08-01 05:08:26.763775,,2025-07-31 19:40:29.246584
A WESCO SEPTIC SERVICE INC,AWESCSS997RG,CONSTRUCTION CONTRACTOR,16607 SR 9 SE,,SNOHOMISH,WA,98296,(360) 668-6561,"BUNT, LEWIS",https://www.awescoseptic.com/,Septic Services,"A Wesco Septic is a second-generation family-owned and operated septic services business proudly serving Snohomish County, King County, and Camano Island.","Septic Tank Pumping, Septic Inspections, Septic Repairs, Maintenance Agreements",0.83,0.75,0.95,,completed,approved_download,2025-08-01 05:10:20.596744,,2025-07-31 19:40:29.246584
A&D PRO PAINTING LLC,DPROPPP762C9,CONSTRUCTION CONTRACTOR,1807 SHAW RD,,PUYALLUP,WA,98372,(253) 355-7178,"ROMERO CRUZ, MARIANA",https://adpropainting.com,Painting,"A&D Pro Painting offers professional painting and carpentry services in Puyallup and the surrounding South Puget Sound area, focusing on quality craftsmanship and customer satisfaction.","Interior House Painting, Exterior House Painting, Drywall Repair, Deck and Fence Staining, Custom Carpentry Work",1.00,,1.00,,completed,approved_download,2025-08-01 05:12:31.686828,,2025-07-31 19:40:29.246584
A-GRADE SEALCOATING,GRADES*821QN,CONSTRUCTION CONTRACTOR,18716 NE 25TH ST,,VANCOUVER,WA,98684,(360) 600-7352,"SHANNON, ROBERT MARTIN",https://a-gradesealcoating.com,Concrete,"A-Grade Sealcoating provides professional asphalt paving and maintenance services in Vancouver, WA, specializing in seal coating, asphalt repairs, and parking lot striping.","Asphalt Sealcoating, Asphalt Repairs, Asphalt Maintenance, Asphalt Cleaning, Parking Lot Striping",0.90,,0.90,,completed,approved_download,2025-08-01 05:20:05.755305,,2025-07-31 19:40:29.246584
A1 ASPHALT PAVING INC,A1ASPAP957DC,CONSTRUCTION CONTRACTOR,25210 45th Pl S,,KENT,WA,98032,(253) 630-6676,"GHAG, AMRIK SINGH",https://www.a1asphaltpc.com/,Concrete,"A1 Asphalt Paving Inc, located in Kent, Washington, provides high-quality asphalt paving services to residents and businesses. They focus on customer satisfaction and have a strong reputation in the industry.","Asphalt Paving, Asphalt Repair, Excavation, Sealcoating",0.81,0.75,0.90,,completed,approved_download,2025-08-01 05:25:18.160776,,2025-07-31 19:40:29.399204
A1 SEPTIC ON LOPEZ LLC,A1SEPSL810RJ,CONSTRUCTION CONTRACTOR,6382 FISHERMAN BAY RD,,LOPEZ ISLAND,WA,98261,(360) 622-6354,"KRAMER, JASON DALE",http://www.a1septiconlopez.com/contact-a1.html,Septic Services,"A1 Septic on Lopez LLC provides septic system installation, inspection, and pumping services on Lopez Island and surrounding areas.","Septic system installation, Septic system pumping, Septic inspections, Outer island work",0.81,0.75,0.90,,completed,approved_download,2025-08-01 05:26:04.648301,,2025-07-31 19:40:29.399204
AAA METAL RAILINGS LLC,AAAMEMR790JK,CONSTRUCTION CONTRACTOR,7015 NE 181st,,Kenmore,WA,98028,(425) 247-9826,"AMAYA, MELANIE STEPHANIE",https://aaametalrailings.com,Metal Fabrication,"Custom metal railings to fit your needs! Interior, exterior, stairs or decks, we got you covered! Free estimates available! Locally owned and operated.","Custom metal railings, Interior railings, Exterior railings, Stair railings, Deck railings",0.90,,0.90,,completed,approved_download,2025-08-01 05:33:16.128811,,2025-07-31 19:40:29.399204
AAAAA HOME REPAIR LLC,AAAAAHR763J3,CONSTRUCTION CONTRACTOR,14975 21ST AVE SW,,BURIEN,WA,98166,(206) 579-6642,"GONZALEZ VARGAS, GUILLERMO A",https://aaaaahomerepair.com,Handyman,"AAAAA Home Repair is a fully licensed and insured home remodeling company with 20 years of experience in residential and commercial buildings, specializing in home repairs and renovations.","Kitchen remodeling, Bathroom remodeling, Flooring installation, Deck installation, Siding installation",0.90,,0.90,,completed,approved_download,2025-08-01 05:35:24.894785,,2025-07-31 19:40:29.399204
AACTION EXCAVATING INC,AACTIEI951MF,CONSTRUCTION CONTRACTOR,PO BOX 294,,BOW,WA,98232,(360) 766-5246,"POCOCK, IAN DAVID",https://aactionexcavating.com,Excavating,"Aaction Excavating Inc. is a family-owned business providing excavation and trucking services in Skagit, Whatcom, Island, and Snohomish counties since 2002.","Site Preparation, Road Building, Trucking, Septic Installation, Sand & Gravel, Equipment Hauling, Drainage, Clearing, Demolition, Rock Hammer, Pipe Installation, Erosion Control",0.90,,0.90,,completed,approved_download,2025-08-01 05:35:45.522358,,2025-07-31 19:40:29.399204
AARD PEST CONTROL INC,AARDPPC913CO,CONSTRUCTION CONTRACTOR,6019 212TH ST SW,,LYNNWOOD,WA,98036,(425) 776-3662,"STEHLE, JOSEPH ROBERT",https://aardpestcontrol.com/,Pest Control,"AARD Pest Control is a family-owned business providing pest control services in the greater Seattle area since 1980, specializing in safe and effective solutions for residential pest problems.","Rodent Control, Ant Control, Spider Control, Wasp Control, Bed Bug Control",0.83,0.75,0.95,,completed,approved_download,2025-08-01 05:36:55.965122,,2025-07-31 19:40:29.399204
1 STRUCTURE LLC,1STRUSL792OM,CONSTRUCTION CONTRACTOR,212 NE 83RD ST,,VANCOUVER,WA,98665,(360) 694-2552,"DUUS, JASON GABRIEL",https://1structure.com/contact/,Commercial,"1 Structure LLC is an experienced commercial contractor based in Vancouver, WA, focusing on large-scale projects including hotels, retail, and educational facilities.","Commercial Construction, Project Management, General Contracting",0.79,0.75,0.85,,completed,pending_review,2025-08-01 04:13:12.078534,,2025-07-31 19:40:28.977388
100 PROOF DRYWALL LLC,100PRPD823OR,CONSTRUCTION CONTRACTOR,PO BOX 86,,SOUTHWORTH,WA,98386,(360) 317-3229,"LINDAL, JAMES WALLACE",https://www.100proofdrywall.com/,Drywall,100 Proof Drywall LLC specializes in high-quality drywall installation and finishing services for both residential and commercial projects.,"Drywall installation, Drywall finishing, Texturing, Repair services",0.66,0.50,0.90,,completed,pending_review,2025-08-01 04:14:30.415237,,2025-07-31 19:40:28.977388
