business_name,contractor_license_number,contractor_license_type_code_desc,address1,address2,city,state,zip,phone_number,primary_principal_name,website_url,mailer_category,business_description,services_offered,confidence_score,website_confidence,classification_confidence,residential_focus,processing_status,review_status,last_processed,reviewed_at,gpt4mini_analysis,created_at
101 ROOF CLEANING,101RORC762CZ,CONSTRUCTION CONTRACTOR,109 SOUTHWESTERN PL,,SEQUIM,WA,98382,(360) 531-3321,"MUZZY, TERESA ARECHAVALETA",https://nextdoor.com/pages/101-roof-cleaning-port-townsend-wa/,Roofing,"101 Roof Cleaning is a family-owned small business providing roof cleaning services, including gutter cleaning, moss treatments, solar panel cleaning, and more.","{""Roof cleaning"",""Gutter cleaning"",""Moss treatments"",""Solar panel cleaning"",""Pressure washing"",""Gutter guard install and maintenance""}",1.00,,,,completed,approved_download,2025-07-23 03:19:07.818732,,,2025-07-22 23:37:37.197793
12 DECKS & FENCES LLC,12DECDF813MN,CONSTRUCTION CONTRACTOR,13915 99TH AVE SE,,Snohomish,WA,98296,(206) 487-6747,"Mirbek, Taubayev",https://12decks.vercel.app/,Fencing,"12 Decks & Fences LLC specializes in constructing decks and fences using wood and composite materials, serving the Greater Seattle Area with a focus on environmentally sustainable practices.","{""Deck Installation"",""Fence Installation"",""Design and Planning"",""Material Selection"",""Project Planning"",""Disposal of Old Materials""}",1.00,,,,completed,approved_download,2025-07-23 03:20:36.604528,,,2025-07-22 23:37:37.197793
123 Electric Service Inc,123ELES877DA,CONSTRUCTION CONTRACTOR,14725 NE 20TH STREET D-12,,Bellevue,WA,98007,(425) 455-2027,"LEBER, BRETT CHARLES",https://123electricservice.com/,Electrical,"123 Electric Service is a licensed, bonded, and insured electrician based in Bellevue, WA, specializing in electrical, heating, and air conditioning repairs.","{""Electrical Wiring"",""Remodels and Additions"",""Panel and Sub Panel Installations"",""Heating Services"",""Air Conditioning Services"",""Security Systems"",Troubleshooting}",1.00,,,,completed,approved_download,2025-07-23 04:54:08.896527,,,2025-07-22 23:37:37.197793
123 Electric Service Inc,123ELES892CP,ELECTRICAL CONTRACTOR,14725 NE 20TH ST D-12,,Bellevue,WA,98007,(425) 455-2027,"Leber, Brett",https://123electricservice.com/,Electrical,"123 Electric Service is a licensed, bonded, and insured electrical contractor based in Bellevue, WA, specializing in electrical, heating, and air conditioning repairs.","{""Electrical Wiring"",""Remodels and Additions"",""Panel and Sub Panel Installation"",""Heating Services"",""Air Conditioning Services"",""Security Systems"",Troubleshooting}",1.00,,,,completed,approved_download,2025-07-23 04:54:19.259854,,,2025-07-22 23:37:37.197793
12TH HANDYMAN,12THHH*787P5,CONSTRUCTION CONTRACTOR,5706 17TH AVE NW,UNIT 17346,SEATTLE,WA,98127,(707) 364-3996,"BAKER, REGINALDO CASANOVA",https://www.12thhandyman.com/,Handyman,"12th Handyman provides expert maintenance and repair services for both residential and commercial clients in Seattle, WA, with a commitment to quality craftsmanship.","{""General and Building Repair"",""Assembly and Installation"",""Interior/Exterior Painting"",""Shed Installation"",""Punch Lists"",Groundskeeping,""Marine Detailing"",Repair/Replace}",1.00,,,,completed,approved_download,2025-07-23 04:54:45.694977,,,2025-07-22 23:37:37.197793
12TH MAN FLOORING LLC,12THMMF845RH,CONSTRUCTION CONTRACTOR,10439 Brighten St SE,,YELM,WA,98597,(509) 993-4545,"Pfortmiller, Cenderella Anteni",https://www.thurstoncountywa.gov/departments/public-health-and-social-services/environmental-health/food-safety/food-safety-look-up,Flooring,12TH MAN FLOORING LLC specializes in flooring installation services.,"{""Flooring Installation"",""Flooring Repair"",""Flooring Consultation""}",1.00,,,,completed,approved_download,2025-07-23 04:55:26.766424,,,2025-07-22 23:37:37.197793
13THIRTYSEVEN ELECTRIC LLC,13THIEL760KL,ELECTRICAL CONTRACTOR,7711 EASY ST,,EVERETT,WA,98203,(425) 830-7342,"Weber, Andrew D",https://archive.org/stream/NewsUK1977UKEnglish/Jan%2014%201977%2C%20The%20Times%2C%20%2359907%2C%20UK%20%28en%29_djvu.txt,Electrical,"13THIRTYSEVEN ELECTRIC LLC is a licensed electrical contractor based in Everett, WA, specializing in electrical services.","{""Electrical installations"",""Electrical repairs"",""Wiring services"",""Lighting installations""}",1.00,,,,completed,approved_download,2025-07-23 04:55:51.800493,,,2025-07-22 23:37:37.197793
180 ELECTRIC LLC,180ELEL945NW,ELECTRICAL CONTRACTOR,12123 E. Grace Ave.,,SPOKANE VALLEY,WA,99206,(509) 475-1350,"BARNESE, THOMAS J II",https://www.spokanevalleyed.org/DocumentCenter/View/2374,Electrical,"180 ELECTRIC LLC is an electrical contractor based in Spokane Valley, WA, specializing in electrical services.","{""Electrical installation"",""Electrical repair"",""Wiring services"",""Lighting installation""}",1.00,,,,completed,approved_download,2025-07-23 04:57:53.308461,,,2025-07-22 23:37:37.197793
1LIFE CONSTRUCTION INC,1LIFECI861M5,CONSTRUCTION CONTRACTOR,12345 LAKE CITY WAY #311,,SEATTLE,WA,98125,(206) 676-2192,"FARIS, TRISHA DAWN",https://thepipedr.com/12345-lake-city-way-ne-ste-311-seattle-wa-98125/,Plumbing,"1LIFE CONSTRUCTION INC specializes in plumbing services, particularly sewer repair and cleaning, serving the Seattle area.","{""Sewer Repair"",""Sewer Cleaning"",""Drain Cleaning""}",1.00,,,,completed,approved_download,2025-07-23 05:17:43.624205,,,2025-07-22 23:37:37.197793
1ST CALL PLUMBING & HTG LLC,1STCACP751LB,PLUMBING CONTRACTOR,6817 27TH ST W,#65761,TACOMA,WA,98466,(253) 244-4325,"HARRIS, WAYNE FITZGERALD JR",https://1st.net,Plumbing,"1ST CALL PLUMBING & HTG LLC is a plumbing contractor based in Tacoma, WA, specializing in plumbing services.",{},1.00,,,,completed,approved_download,2025-07-23 05:27:10.41032,,,2025-07-22 23:37:37.197793
1ST CHANCE ELECTRIC INC,1STCHCE790ON,ELECTRICAL CONTRACTOR,6218 E 37TH AVE,,SPOKANE,WA,99223,(509) 475-9175,"Dierks, Sarah K",https://1st.net,Electrical,"1ST CHANCE ELECTRIC INC is an electrical contractor based in Spokane, WA, providing electrical services.",{},1.00,,,,completed,approved_download,2025-07-23 05:27:17.132247,,,2025-07-22 23:37:37.197793
1ST CHOICE CONSTRUCTION INC,1STCHCC921OE,CONSTRUCTION CONTRACTOR,410 Main St,,Algona,WA,98001,(253) 569-4588,"VOLYANSKIY, VITALIY V",https://1stchoicehomeconstruction.com/,Roofing,"1st Choice Construction Inc is a roofing contractor based in Algona, WA, specializing in roof replacements, repairs, leak detection, gutters, and water damage restoration.","{""Roof Installation"",""Roof Repairs"",""Leak Repairs"",""Water Damage Restoration"",""Gutter Installation""}",1.00,,,,completed,approved_download,2025-07-23 05:27:48.953434,,,2025-07-22 23:37:37.197793
1ST CHOICE LANDSCAPING,1STCHCL857MG,CONSTRUCTION CONTRACTOR,13021 JORDAN TRAILS RD,,ARLINGTON,WA,98223,(360) 999-8926,"GONZALEZ, JOSE JUAN",https://1stchoicelandscapinginc.com/,Landscaping,"1st Choice Landscaping Inc excels in a full suite of landscaping services, including lawn care, snow removal, and more.","{""Lawn mowing"",Fertilizing,""Trimming shrubs"",""Irrigation system installation"",""Snow removal""}",1.00,,,,completed,approved_download,2025-07-23 05:28:35.170576,,,2025-07-22 23:37:37.197793
1ST CHOICE LANDSCAPING INC,1STCHCL822JK,CONSTRUCTION CONTRACTOR,17902 29TH AVE NE,,Marysville,WA,98271,(360) 926-3004,"GONZALEZ, JOSE JUAN",https://1stchoicelandscapinginc.com/,Landscaping,"1st Choice Landscaping Inc excels in a full suite of landscaping services, including lawn care, snow removal, and more, dedicated to serving the community with professionalism and quality.","{""Lawn Care"",""Snow Removal"",""Irrigation Installation"",""Landscape Design"",""Shrub Trimming""}",1.00,,,,completed,approved_download,2025-07-23 05:28:37.482304,,,2025-07-22 23:37:37.197793
1ST CHOICE PAINTING LLP,1STCHCP807LP,CONSTRUCTION CONTRACTOR,17728 140TH AVE E,,PUYALLUP,WA,98374,(253) 548-6183,"PERKINS, TYLER",https://1st.net,Painting,1ST CHOICE PAINTING LLP is a licensed construction contractor specializing in painting services.,"{""Interior Painting"",""Exterior Painting"",""Residential Painting"",""Commercial Painting""}",1.00,,,,completed,approved_download,2025-07-23 05:28:52.354089,,,2025-07-22 23:37:37.197793
1ST CHOICE PLUMBING INC,1STCHCP788O2,PLUMBING CONTRACTOR,PO BOX 3875,,EVERETT,WA,98213,(425) 876-8015,"CAMPBELL, SCOTT TRACY",https://1st-choice-plumbing.com,Plumbing,"1st Choice Plumbing offers fast, affordable plumbing services across Boca Raton, Delray Beach, and more.","{""Plumbing repairs"",""Drain cleaning"",""Leak detection"",""Water heater solutions"",""Emergency plumbing""}",1.00,,,,completed,approved_download,2025-07-23 05:29:00.29028,,,2025-07-22 23:37:37.197793
1ST CHOICE PLUMBING INC,1STCHPI011BN,CONSTRUCTION CONTRACTOR,PO BOX 3875,,EVERETT,WA,98213,(425) 750-7013,"CAMPBELL, SCOTT TRACY",https://1st-choice-plumbing.com,Plumbing,"1st Choice Plumbing offers fast, affordable plumbing services across Boca Raton, Delray Beach, and more, specializing in both residential and commercial plumbing solutions.","{""Plumbing repairs"",""Drain cleaning"",""Leak detection"",""Water heater solutions"",""Emergency plumbing""}",1.00,,,,completed,approved_download,2025-07-23 05:29:09.153253,,,2025-07-22 23:37:37.197793
1ST CHOICE ROOFING & SDNG LLC,1STCHCR783PO,CONSTRUCTION CONTRACTOR,2111 N 19TH DR,,PASCO,WA,99301,(509) 845-6908,"HERNADEZ SANCHEZ, JARIO E",https://1st.net,Roofing,"1ST CHOICE ROOFING & SDNG LLC is a roofing contractor based in Pasco, WA, specializing in roofing services.",{},1.00,,,,completed,approved_download,2025-07-23 05:29:26.47166,,,2025-07-22 23:37:37.197793
1ST CLASS GLASS INC,1STCLCG833JL,CONSTRUCTION CONTRACTOR,2020 MALTBY RD STE 7 #337,,BOTHELL,WA,98021,(425) 280-1976,"CAIN, MICHELLE LOKELAN",https://www.seattleglass.net/,Windows & Doors,"1st Class Glass is a full-service glass repair and replacement company specializing in auto, commercial, and residential glass services in the Puget Sound area.","{""Auto Glass Repair"",""Windshield Replacement"",""Commercial Glass Repair"",""Residential Glass Installation"",""Heavy Equipment Glass Repair"",""Boat and RV Glass Repair""}",1.00,,,,pending,approved_download,2025-07-23 17:56:38.44318,,,2025-07-22 23:37:37.197793
1ST CLASS PAVING,1STCLCP812LO,CONSTRUCTION CONTRACTOR,16821 SMOKEY POINT BLVD,APT 213,ARLINGTON,WA,98223,(360) 202-5200,"SMITH, JOSHUA W III",https://www.a1asphaltpc.com/,Concrete,"1ST CLASS PAVING provides high-quality asphalt paving services to residents and businesses in Arlington, WA.","{""Asphalt paving"",""Driveway paving"",""Parking lot maintenance"",""Excavation services""}",1.00,,,,completed,approved_download,2025-07-23 17:57:30.39645,,,2025-07-22 23:37:37.197793
1ST GENERATION ELECTRIC LLC,1STGEGE782KE,ELECTRICAL CONTRACTOR,1207 N LANDING WAY # 1075,,RENTON,WA,98057,(206) 910-1212,"THANT, WIN M",https://1st.net,Electrical,"1ST GENERATION ELECTRIC LLC is an electrical contractor based in Renton, WA, providing electrical services.",{},1.00,,,,completed,approved_download,2025-07-23 05:30:40.403053,,,2025-07-22 23:37:37.197793
1ST PLACE STRIPING,1STPLPS948M8,CONSTRUCTION CONTRACTOR,13612 60TH AVE SE,,EVERETT,WA,98208,(425) 357-8249,"CORNELIUS, BRET",http://www.1stplacestriping.com/services.cfm,Concrete,"1st Place Striping is a professional striping company based in Everett, WA, specializing in pavement marking services for various types of properties.","{Striping,""Seal Coating"",Curbing,""Sign Installation"",""Concrete Repair"",""Asphalt Resurfacing"",""Pressure Washing"",""Speed Bump Installation"",""Wheel Stop Installation"",Patching,""ADA Improvements"",Consulting}",1.00,,,,completed,approved_download,2025-07-23 18:15:41.952933,,,2025-07-22 23:37:37.197793
1ST RESPONSE PLUMBING,1STRERP781D8,PLUMBING CONTRACTOR,9917 N EDNA ST,,SPOKANE,WA,99208,(509) 847-8372,"LANDIN, JARED",https://1stresponseplumbing.com,Plumbing,Full Service Plumbing - Locally owned and operated.,{},1.00,,,,completed,approved_download,2025-07-23 18:16:03.943976,,,2025-07-22 23:37:37.197793
1st Choice Plumbing & Rep. LLC,1STCHCP796DP,CONSTRUCTION CONTRACTOR,40 Stohler Rd,,SELAH,WA,98942,(509) 895-4035,"Benscoter, Joshua Todd",https://1st.net,Plumbing,"1st Choice Plumbing & Rep. LLC is a plumbing contractor based in Selah, WA, offering reliable plumbing services.","{""General plumbing repairs"",""Pipe installation"",""Drain cleaning"",""Leak detection"",""Water heater installation""}",1.00,,,,completed,approved_download,2025-07-23 05:28:49.300494,,,2025-07-22 23:37:37.197793
2 BROTHERS CONCRETE LLC,2BROTBC780DW,CONSTRUCTION CONTRACTOR,4040 AUBURN WAY S TRLR 59,,AUBURN,WA,98092,(206) 941-8858,"ALVARADO MENDOZA, ARTURO",https://www.2brothersconcrete.org/,Concrete,"2 Brothers Concrete LLC is a family-operated business specializing in high-quality concrete services, including driveways, patios, sidewalks, and more, with a focus on customer satisfaction.","{Driveways,Patios,Sidewalks,""Basketball Courts"",""Stamped/Colored Concrete"",""Concrete Fire Pits"",""Retaining Walls"",Foundations,""Warehouse Floor Repair and Replacement""}",1.00,,,,completed,approved_download,2025-07-23 18:17:37.615452,,,2025-07-22 23:37:37.197793
2 GUYS PLUMBING LLC,2GUYSGP820JD,CONSTRUCTION CONTRACTOR,PO BOX 1386,,CASTLE ROCK,WA,98611,(360) 747-9205,"VEACH, JONATHAN JAMES",https://www.2guysplumbing.com/drain-cleaning,Plumbing,"2 Guys Plumbing provides high-quality plumbing services, specializing in drain cleaning and resolving clogged drain issues for the local community.","{""Drain Cleaning"",""Clogged Drain Service""}",1.00,,,,completed,approved_download,2025-07-23 18:18:54.565036,,,2025-07-22 23:37:37.197793
2 GUYS PLUMBING LLC,2GUYSGP786KB,PLUMBING CONTRACTOR,PO BOX 1386,,CASTLE ROCK,WA,98611,(360) 274-3453,"ELLIS, WILLIAM GIMM WANEMAH",https://www.2guysplumbing.com/drain-cleaning,Plumbing,"2 Guys Plumbing provides high-quality plumbing services to the local community, specializing in drain cleaning and other plumbing solutions.","{""Drain Cleaning"",""Clogged Drain Service""}",1.00,,,,completed,approved_download,2025-07-23 18:18:41.333816,,,2025-07-22 23:37:37.197793
2 PALMS DECORATIVE CNCRT LLC,2PALMPD840L3,CONSTRUCTION CONTRACTOR,1309 S GREAT BLUE RD,,RIDGEFIELD,WA,98642,(360) 693-7866,"SOWDERS, TIMMOTHY MARTIN",https://www.2palmsdc.com/,Concrete,"2 Palms Decorative Concrete LLC specializes in polishing, cleaning, maintenance, and restoration of decorative concrete surfaces, with over 40 years of experience in the industry.","{Polishing,Cleaning,Maintenance,Restoration,""Decorative Overlay System"",""Stamped Overlays""}",1.00,,,,completed,approved_download,2025-07-23 18:19:51.99571,,,2025-07-22 23:37:37.197793
2 SONS PLUMBING,2SONSSP759TF,PLUMBING CONTRACTOR,106 FRONTAGE RD N,,PACIFIC,WA,98047,(206) 736-6300,"BOVAN, ROWDY SCOTT",https://www.phccwa.org/find-a-contractor/2-sons-plumbing,Plumbing,"2 Sons Plumbing is a local plumbing contractor in Pacific, WA, specializing in residential and commercial plumbing services, including sewer, septic, heating, and cooling solutions.","{""Plumbing Services"",""Heating Services"",""Cooling Services"",""Drain Cleaning"",""Sewer Repair"",""Water Heater Services"",""Leak Repair Services""}",1.00,,,,completed,approved_download,2025-07-23 18:20:48.661517,,,2025-07-22 23:37:37.197793
2 SONS PLUMBING,2SONSSP759CF,CONSTRUCTION CONTRACTOR,106 FRONTAGE RD N,,PACIFIC,WA,98047,(206) 736-6300,"BOVAN, ROWDY SCOTT",https://www.phccwa.org/find-a-contractor/2-sons-plumbing,Plumbing,"2 Sons Plumbing is a local plumbing company in Pacific, WA, offering a range of plumbing, heating, and cooling services for both residential and commercial clients.","{""Plumbing Services"",""Heating Services"",""Cooling Services"",""Drain Cleaning or Unclogging"",""Ductless Mini-Split Systems"",Excavation,""Furnace Repair or Installation"",""Heat Pump Services"",""Leak Repair Services"",Remodel,""Sewer Lining Services"",""Sewer Repair"",""Water Heater Services"",""Water Line Re-piping""}",1.00,,,,completed,approved_download,2025-07-23 18:20:42.708394,,,2025-07-22 23:37:37.197793
2 SONS PLUMBING,2SONSSP757D5,ELECTRICAL CONTRACTOR,106 FRONTAGE RD N,,PACIFIC,WA,98047,(206) 736-6300,"BOVAN, ROWDY",https://www.phccwa.org/find-a-contractor/2-sons-plumbing,Plumbing,"2 Sons Plumbing is a local plumbing company in Pacific, WA, offering a range of plumbing services for both residential and commercial clients.","{""Plumbing Services"",""Heating Services"",""Cooling Services"",""Drain Cleaning"",Excavation,""Furnace Repair"",""Heat Pump Services"",""Leak Repair"",""Sewer Repair"",""Water Heater Services"",""Water Line Re-piping""}",1.00,,,,completed,approved_download,2025-07-23 18:20:34.527677,,,2025-07-22 23:37:37.197793
2 SONS PLUMBING LLC,2SONSSP833OF,CONSTRUCTION CONTRACTOR,PO Box 371,,HOBART,WA,98025,(206) 736-6300,"SCHULTES, TYLER R",,Plumbing,"2 SONS PLUMBING LLC is a plumbing contractor based in Hobart, WA, providing a range of plumbing services to the local community.","{""Sewer services"",""Drain cleaning"",""Pipe installation and repair"",""Water heater services""}",1.00,,,,completed,approved_download,2025-07-23 18:20:56.659913,,,2025-07-22 23:37:37.197793
2-SHEA'S PAINTING LLC,2SHEAPL937L2,CONSTRUCTION CONTRACTOR,P.O. Box 44,,TRACYTON,WA,983930044,(360) 649-3783,"SHEA, MICHAEL Allen",https://www.2sheaspainting.com/,Painting,"2-Shea's Painting & Remodeling in Bremerton, WA, offers a wide range of painting and remodeling services for both residential and commercial clients.","{""Residential Painting"",""Commercial Painting"",""Interior Remodeling"",""Exterior Remodeling"",""Cabinet Painting"",""Flooring Installation"",""Siding Installation"",Excavation}",1.00,,,,completed,approved_download,2025-07-23 18:21:42.979316,,,2025-07-22 23:37:37.197793
206 CREW LLC,206CRCL775C4,CONSTRUCTION CONTRACTOR,PO BOX 31039,,SEATTLE,WA,98103,(206) 458-3780,"PANDHER, SIMRANJIT SINGH",https://www.sledgeseattle.com/,Demolition,"Sledge Seattle LLC provides safe, eco-friendly demolition services, specializing in deconstruction to salvage materials and minimize waste.","{Deconstruction,Demolition,""Board-Up Services"",""Partial Demolition""}",1.00,,,,completed,approved_download,2025-07-23 18:23:50.943191,,,2025-07-22 23:37:37.197793
206 ELECTRIC LLC,206ELEL762NM,ELECTRICAL CONTRACTOR,109 198TH ST SE,,BOTHELL,WA,98012,(206) 877-2759,"POGOSYAN, SERGEY",https://ibew46.com/resource-library/signatories/,Electrical,"206 ELECTRIC LLC is an electrical contractor based in Bothell, WA, specializing in electrical services.","{""Electrical installation"",""Electrical repair"",""Residential electrical services"",""Commercial electrical services""}",1.00,,,,completed,approved_download,2025-07-23 18:23:58.889517,,,2025-07-22 23:37:37.197793
206 PLUMBING LLC,206PLPL864BH,CONSTRUCTION CONTRACTOR,PO BOX 70498,,SEATTLE,WA,98127,(206) 310-0125,"SITEK, RICHARD ANTHONY JR",https://bestplumbing.com/,Plumbing,206 Plumbing LLC is a reliable plumbing service located in Seattle WA dedicated to providing top-notch solutions for all your plumbing needs.,"{""Drain Cleaning"",""Leak Repairs"",""Water Heater Repairs"",""Toilet Installation and Repair""}",1.00,,,,pending,approved_download,2025-07-23 18:24:24.499899,,,2025-07-22 23:37:37.197793
20th Century Contracting,20THCCC860B4,CONSTRUCTION CONTRACTOR,2417 NE 102nd St.,,VANCOUVER,WA,98686,(360) 606-8451,"Short, Mark Leon",https://www.20thcenturyroofing.com/,Roofing,"20th Century Contracting is a family-owned business specializing in roofing and remodeling services in Vancouver, WA, and surrounding areas.","{""New Roofing"",""Roof Repairs"",""Roof Inspections"",""Roof Remodeling"",""Commercial Roofing"",""Residential Roofing"",""Windows Replacement"",""Doors Installation"",""Home Remodeling"",""Decks and Fences Construction""}",1.00,,,,completed,approved_download,2025-07-23 18:25:15.057569,,,2025-07-22 23:37:37.197793
21st Century Electric LLC,21STCCE901QA,ELECTRICAL CONTRACTOR,796 N Grover PL,,EAST WENATCHEE,WA,98802,(509) 670-1724,"JONES, MARTIN",https://www.chelanpud.org/environment/solar-power,Electrical,21st Century Electric is an electrical contracting organization that specializes in all aspects of the electrical trade.,{},1.00,,,,completed,approved_download,2025-07-23 18:28:17.812405,,,2025-07-22 23:37:37.197793
222 ELECTRIC CO,222ELEC859RN,ELECTRICAL CONTRACTOR,11806 221ST AVE E,,BONNEY LAKE,WA,98391,(253) 222-4605,"ROACH, MARK T",https://www.seattlelighting.com/,Electrical,"222 Electric Co is a reputable electrical company based in Bonney Lake, WA, providing electrical services.",{},1.00,,,,completed,approved_download,2025-07-23 18:28:24.590909,,,2025-07-22 23:37:37.197793
1 EZ SEPTIC SYSTEM INSTLR LLC,1EZSEES807OB,CONSTRUCTION CONTRACTOR,906 PARALLEL ST,,MILTON FREEWATER,OR,97862,(509) 520-1586,"MENDOZA GARCIA, FERMIN",https://www.1ezseptic.com/,Septic Services,"1 EZ Septic System Installer LLC is a family-owned business with over 20 years of experience in septic system installation, maintenance, and excavation services.","{""Septic System Installation"",""Septic System Repair"",""Septic System Maintenance"",""Excavation Services"",""Concrete Steps and Sidewalks"",""City Water and Sewer Hookup""}",0.95,,,,completed,approved_download,2025-07-23 03:16:28.00763,,,2025-07-22 23:37:37.197793
# JUAN HANDYMAN,JUANHH*839MG,CONSTRUCTION CONTRACTOR,2324 E BOONE AVE,,SPOKANE,WA,99202,(509) 847-9082,"ROMERO-ORTEGA, JUAN",,Handyman,"Juan Handyman is a construction contractor based in Spokane, WA, offering a range of handyman services.","{""General repairs"",""Home maintenance"",""Minor renovations""}",0.90,,,,completed,approved_download,2025-07-23 03:10:51.834511,,,2025-07-22 23:37:37.197793
